레시피구분,레시피명,열량,식재료명,식재료양
국류,콩가루배추국,열량 : 44.43 kcal,된장,3g
국류,콩가루배추국,열량 : 44.43 kcal,다시마,2g
국류,콩가루배추국,열량 : 44.43 kcal,파(대파),1g
국류,콩가루배추국,열량 : 44.43 kcal,마늘,0.2g
밥류,냉이 강된장비빔밥,열량 : 453.3 kcal,두부,80g
밥류,냉이 강된장비빔밥,열량 : 453.3 kcal,멥쌀(백미),60g
밥류,냉이 강된장비빔밥,열량 : 453.3 kcal,된장,20g
밥류,냉이 강된장비빔밥,열량 : 453.3 kcal,호박(애호박),20g
밥류,냉이 강된장비빔밥,열량 : 453.3 kcal,큰느타리버섯(새송이버섯),20g
밥류,냉이 강된장비빔밥,열량 : 453.3 kcal,냉이,15g
밥류,냉이 강된장비빔밥,열량 : 453.3 kcal,참기름,10g
밥류,냉이 강된장비빔밥,열량 : 453.3 kcal,파(대파),5g
밥류,냉이 강된장비빔밥,열량 : 453.3 kcal,"고추(풋고추(청고추, 개량종))",3g
밥류,냉이 강된장비빔밥,열량 : 453.3 kcal,고추(붉은고추(홍고추)),3g
밥류,냉이 강된장비빔밥,열량 : 453.3 kcal,전분(감자전분),2g
밥류,버섯카레라이스,열량 : 508.44 kcal,멥쌀(백미),80g
밥류,버섯카레라이스,열량 : 508.44 kcal,분말(카레분말),40g
밥류,버섯카레라이스,열량 : 508.44 kcal,감자,40g
밥류,버섯카레라이스,열량 : 508.44 kcal,양송이버섯,20g
밥류,버섯카레라이스,열량 : 508.44 kcal,당근,15g
밥류,버섯카레라이스,열량 : 508.44 kcal,표고버섯,10g
밥류,버섯카레라이스,열량 : 508.44 kcal,송이버섯,10g
밥류,버섯카레라이스,열량 : 508.44 kcal,완두콩,5g
밥류,버섯카레라이스,열량 : 508.44 kcal,소금(고운소금),3g
밥류,버섯카레라이스,열량 : 508.44 kcal,양파,2.5g
부침류,채소동그랑땡전,열량 : 180.75 kcal,동그랑땡(채소동그랑땡),60g
부침류,채소동그랑땡전,열량 : 180.75 kcal,콩기름(대두유),5g
국류,순두부청국장찌개,열량 : 83.08 kcal,두부(순두부),90g
국류,순두부청국장찌개,열량 : 83.08 kcal,김치(배추김치),20g
국류,순두부청국장찌개,열량 : 83.08 kcal,청국장,20g
국류,순두부청국장찌개,열량 : 83.08 kcal,호박(애호박),15g
국류,순두부청국장찌개,열량 : 83.08 kcal,무(조선무),15g
국류,순두부청국장찌개,열량 : 83.08 kcal,다시마,5g
국류,순두부청국장찌개,열량 : 83.08 kcal,고추(풋고추(청고추)),1g
국류,순두부청국장찌개,열량 : 83.08 kcal,고추(붉은고추(홍고추)),1g
국류,순두부청국장찌개,열량 : 83.08 kcal,마늘,1g
국류,순두부청국장찌개,열량 : 83.08 kcal,소금(천일염),0.3g
국류,호박된장국,열량 : 38.59 kcal,호박(애호박),35g
국류,호박된장국,열량 : 38.59 kcal,양파,15g
국류,호박된장국,열량 : 38.59 kcal,된장,10g
국류,호박된장국,열량 : 38.59 kcal,다시마,5g
국류,호박된장국,열량 : 38.59 kcal,파(대파),2g
국류,호박된장국,열량 : 38.59 kcal,마늘,1g
구이류,두부구이,열량 : 211.7 kcal,두부,180g
구이류,두부구이,열량 : 211.7 kcal,파(대파),3g
구이류,두부구이,열량 : 211.7 kcal,혼합식용유,2g
구이류,두부구이,열량 : 211.7 kcal,참기름,1g
구이류,두부구이,열량 : 211.7 kcal,설탕(황설탕),1g
구이류,두부구이,열량 : 211.7 kcal,마늘,1g
구이류,두부구이,열량 : 211.7 kcal,고춧가루,0.5g
구이류,두부구이,열량 : 211.7 kcal,깨(참깨),0.5g
부침류,두부완자전,열량 : 333.3 kcal,완자(두부완자),140g
부침류,두부완자전,열량 : 333.3 kcal,콩기름(대두유),2g
밥류,봄나물비빔밥,열량 : 411.42 kcal,멥쌀(구분도미),90g
밥류,봄나물비빔밥,열량 : 411.42 kcal,표고버섯,15g
밥류,봄나물비빔밥,열량 : 411.42 kcal,당근,15g
밥류,봄나물비빔밥,열량 : 411.42 kcal,돌나물,10g
밥류,봄나물비빔밥,열량 : 411.42 kcal,달래,10g
밥류,봄나물비빔밥,열량 : 411.42 kcal,고사리,10g
밥류,봄나물비빔밥,열량 : 411.42 kcal,도라지,10g
밥류,봄나물비빔밥,열량 : 411.42 kcal,콩기름(대두유),4g
밥류,봄나물비빔밥,열량 : 411.42 kcal,깨소금,3g
밥류,봄나물비빔밥,열량 : 411.42 kcal,소금(천일염),1g
밥류,봄나물비빔밥,열량 : 411.42 kcal,간장(양조간장),1g
조림류,매생이 표고버섯조림,열량 : 76.79 kcal,표고버섯,80g
조림류,매생이 표고버섯조림,열량 : 76.79 kcal,매생이,40g
조림류,매생이 표고버섯조림,열량 : 76.79 kcal,간장,2g
조림류,매생이 표고버섯조림,열량 : 76.79 kcal,물엿,1g
조림류,매생이 표고버섯조림,열량 : 76.79 kcal,마늘,0.5g
조림류,매생이 표고버섯조림,열량 : 76.79 kcal,생강,0.2g
국류,우거지숙주토장국,열량 : 69.14 kcal,숙주나물,25g
국류,우거지숙주토장국,열량 : 69.14 kcal,배추(우거지),20g
국류,우거지숙주토장국,열량 : 69.14 kcal,김치(배추김치),10g
국류,우거지숙주토장국,열량 : 69.14 kcal,된장,2g
국류,우거지숙주토장국,열량 : 69.14 kcal,양파,2g
국류,우거지숙주토장국,열량 : 69.14 kcal,고추장,1g
국류,메밀수제비,열량 : 81.8 kcal,수제비,100g
국류,메밀수제비,열량 : 81.8 kcal,호박(애호박),20g
국류,메밀수제비,열량 : 81.8 kcal,감자,20g
국류,메밀수제비,열량 : 81.8 kcal,양파,10g
국류,메밀수제비,열량 : 81.8 kcal,파(대파),2g
국류,메밀수제비,열량 : 81.8 kcal,다시마,1g
국류,메밀수제비,열량 : 81.8 kcal,마늘,1g
국류,메밀수제비,열량 : 81.8 kcal,소금(천일염),0.3g
면류,들깨버섯수제비국,열량 : 65.5 kcal,수제비,60g
면류,들깨버섯수제비국,열량 : 65.5 kcal,감자,20g
면류,들깨버섯수제비국,열량 : 65.5 kcal,호박(애호박),5g
면류,들깨버섯수제비국,열량 : 65.5 kcal,표고버섯,5g
면류,들깨버섯수제비국,열량 : 65.5 kcal,무(조선무),5g
면류,들깨버섯수제비국,열량 : 65.5 kcal,들깨가루,2g
면류,들깨버섯수제비국,열량 : 65.5 kcal,파(대파),2g
