식재료명,에너지(kcal),단백질(g),지방(g),탄수화물(g)
"가자미류_기름가자미(25cm미만)_암컷,육_생것_대표_8월",90,18.81,1.14,0.0
"가자미류_기름가자미(25cm미만)_암컷,육_생것_대표_9월",89,19.11,0.8,0.2
"가자미류_기름가자미(30cm이상)_수컷,육_생것_대표_11월",81,17.51,0.77,0.0
"가자미류_기름가자미(30cm이상)_수컷,육_생것_대표_1월",95,19.37,1.46,0.0
"가자미류_기름가자미(30cm이상)_수컷,육_생것_대표_2월",79,16.92,0.54,0.52
"가자미류_기름가자미(30cm이상)_수컷,육_생것_대표_3월",93,17.7,0.78,2.73
"가자미류_기름가자미(30cm이상)_수컷,육_생것_대표_6월",82,17.38,0.96,0.0
"가자미류_기름가자미(30cm이상)_수컷,육_생것_대표_7월",93,17.05,1.61,1.34
"가자미류_기름가자미(30cm이상)_암컷,육_생것_대표_10월",92,19.47,0.99,0.15
"가자미류_기름가자미(30cm이상)_암컷,육_생것_대표_11월",82,17.92,0.73,0.0
"가자미류_기름가자미(30cm이상)_암컷,육_생것_대표_12월",84,15.74,1.91,0.0
"가자미류_기름가자미(30cm이상)_암컷,육_생것_대표_1월",87,17.05,1.31,0.78
"가자미류_기름가자미(30cm이상)_암컷,육_생것_대표_2월",89,17.07,0.9,2.13
"가자미류_기름가자미(30cm이상)_암컷,육_생것_대표_3월",104,19.25,2.12,0.67
"가자미류_기름가자미(30cm이상)_암컷,육_생것_대표_4월",91,16.54,1.46,1.71
"가자미류_기름가자미(30cm이상)_암컷,육_생것_대표_5월",81,16.61,0.66,1.11
"가자미류_기름가자미(30cm이상)_암컷,육_생것_대표_6월",106,18.58,2.94,0.0
"가자미류_기름가자미(30cm이상)_암컷,육_생것_대표_7월",115,17.05,4.54,0.0
"가자미류_기름가자미(30cm이상)_암컷,육_생것_대표_8월",99,17.56,2.66,0.0
"가자미류_기름가자미(30cm이상)_암컷,육_생것_대표_9월",92,17.05,1.81,0.78
"가자미류_기름가자미_수컷,육_생것_경주_10월",97,17.0,2.73,0.0
"가자미류_기름가자미_수컷,육_생것_경주_11월",89,16.96,1.82,0.0
"가자미류_기름가자미_수컷,육_생것_경주_8월",85,17.71,0.89,0.36
"가자미류_기름가자미_수컷,육_생것_경주_9월",102,17.75,2.9,0.0
"가자미류_기름가자미_수컷,육_생것_속초_2월",100,18.07,2.49,0.0
"가자미류_기름가자미_수컷,육_생것_포항_12월",95,16.98,2.46,0.0
"가자미류_기름가자미_수컷,육_생것_포항_1월",86,17.73,1.11,0.14
"가자미류_기름가자미_수컷,육_생것_포항_3월",82,16.44,1.31,0.0
"가자미류_기름가자미_수컷,육_생것_포항_4월",85,17.24,1.27,0.0
"가자미류_기름가자미_수컷,육_생것_포항_5월",88,18.16,1.24,0.0
"가자미류_기름가자미_수컷,육_생것_포항_6월",96,17.07,2.51,0.0
