식품명,식재료코드
멥쌀(오분도미)/GAP,1020600004
멥쌀(칠분도미),1020610001
멥쌀(칠분도미)/일반,1020610002
멥쌀(칠분도미)/친환경,1020610003
멥쌀(칠분도미)/GAP,1020610004
멥쌀(현미),1020620001
멥쌀(현미)/일반,1020620002
멥쌀(현미)/친환경,1020620003
멥쌀(현미)/GAP,1020620004
멥쌀(홍미),1020630001
멥쌀(홍미)/일반,1020630002
멥쌀(홍미)/친환경,1020630003
멥쌀(홍미)/GAP,1020630004
멥쌀(흑미),1020640001
멥쌀(흑미)/일반,1020640002
멥쌀(흑미)/친환경,1020640003
멥쌀(흑미)/GAP,1020640004
밀배아,1020650001
밀쌀,1020660001
밀쌀/일반,1020660002
밀쌀/친환경,1020660003
밀쌀/GAP,1020660004
보리,1020670001
보리/일반,1020670002
보리/친환경,1020670003
보리/GAP,1020670004
보리/볶은것,1020670005
보리(겉보리),1020680001
보리(겉보리)/일반,1020680002
보리(겉보리)/친환경,1020680003
보리(겉보리)/GAP,1020680004
보리(늘보리),1020690001
보리(늘보리)/일반,1020690002
보리(늘보리)/친환경,1020690003
보리(늘보리)/GAP,1020690004
보리(쌀보리),1020700001
보리(쌀보리)/일반,1020700002
보리(쌀보리)/친환경,1020700003
보리(쌀보리)/GAP,1020700004
보리(압맥),1020710001
보리(압맥)/일반,1020710002
보리(압맥)/친환경,1020710003
보리(압맥)/GAP,1020710004
보리(찰보리),1020720001
보리(찰보리)/일반,1020720002
보리(찰보리)/친환경,1020720003
보리(찰보리)/GAP,1020720004
보리(할맥),1020730001
보리(할맥)/일반,1020730002
보리(할맥)/친환경,1020730003
보리(할맥)/GAP,1020730004
보리쌀(강황압맥),1020740001
보리쌀(녹차압맥),1020750001
보리쌀(홍국압맥),1020760001
수수,1020770001
수수/일반,1020770002
수수/친환경,1020770003
수수/GAP,1020770004
수수(차수수),1020780001
수수(차수수)/일반,1020780002
수수(차수수)/친환경,1020780003
수수(차수수)/GAP,1020780004
일반혼합곡,1020790001
오색미,1020800001
옥수수,1020810001
옥수수/일반,1020810002
옥수수/친환경,1020810003
옥수수/GAP,1020810004
옥수수(찰옥수수),1020820001
옥수수(찰옥수수)/일반,1020820002
옥수수(찰옥수수)/친환경,1020820003
옥수수(찰옥수수)/GAP,1020820004
옥수수(찰옥수수)/말린것(건조),1020820005
옥수수알,1020830001
유색미혼합15곡,1020840001
율무,1020850001
율무/일반,1020850002
율무/친환경,1020850003
율무/GAP,1020850004
저아밀로즈쌀,1020860001
저아밀로즈쌀/일반,1020860002
저아밀로즈쌀/친환경,1020860003
저아밀로즈쌀/GAP,1020860004
차수수(칼슘강화),1020870001
차조,1020880001
차조/일반,1020880002
차조/친환경,1020880003
차조/GAP,1020880004
차조(청차조),1020890001
차조(청차조)/일반,1020890002
차조(청차조)/친환경,1020890003
차조(청차조)/GAP,1020890004
차조(황차조),1020900001
차조(황차조)/일반,1020900002
차조(황차조)/친환경,1020900003
차조(황차조)/GAP,1020900004
찰옥수수쌀,1020910001
찰옥수수쌀/일반,1020910002
찰옥수수쌀/친환경,1020910003
찰옥수수쌀/GAP,1020910004
찰옥수수알,1020920001
찰옥수수알/일반,1020920002
찰옥수수알/친환경,1020920003
찰옥수수알/GAP,1020920004
찰옥수수알/말린것(건조),1020920005
찰옥수수알/냉동,1020920006
찹쌀(녹미),1020930001
찹쌀(녹미)/일반,1020930002
찹쌀(녹미)/친환경,1020930003
찹쌀(녹미)/GAP,1020930004
찹쌀(발아현미),1020940001
찹쌀(발아현미)/일반,1020940002
찹쌀(발아현미)/친환경,1020940003
찹쌀(발아현미)/GAP,1020940004
찹쌀(발아흑미),1020950001
찹쌀(발아흑미)/일반,1020950002
찹쌀(발아흑미)/친환경,1020950003
찹쌀(발아흑미)/GAP,1020950004
찹쌀(백미),1020960001
찹쌀(백미)/일반,1020960002
찹쌀(백미)/친환경,1020960003
찹쌀(백미)/GAP,1020960004
찹쌀(백미)/김치제조용,1020960005
찹쌀(현미),1020970001
찹쌀(현미)/일반,1020970002
찹쌀(현미)/친환경,1020970003
찹쌀(현미)/GAP,1020970004
찹쌀(홍미),1020980001
찹쌀(홍미)/일반,1020980002
찹쌀(홍미)/친환경,1020980003
찹쌀(홍미)/GAP,1020980004
찹쌀(흑미),1020990001
찹쌀(흑미)/일반,1020990002
찹쌀(흑미)/친환경,1020990003
찹쌀(흑미)/GAP,1020990004
통밀,1021000001
통밀/일반,1021000002
통밀/친환경,1021000003
통밀/GAP,1021000004
피,1021010001
호밀,1021020001
