레시피구분,레시피명,열량
국류,우거지된장국,열량 : 212.22 kcal
밥류,옥수수밥,열량 : 353.3 kcal
김치류,오이피클(완),열량 : 36.4 kcal
기타,오렌지(1/4),열량 : 32.9 kcal
무침류,양배추비트샐러드,열량 : 20.53 kcal
무침류,양배추비트샐러드,열량 : 27.63 kcal
김치류,알타리김치,열량 : 16.4 kcal
김치류,알타리김치,열량 : 28.7 kcal
밥류,쌀밥,열량 : 274.2 kcal
소스류,시저드레싱,열량 : 162.5 kcal
보조식,수정과,열량 : 89 kcal
보조식,수정과,열량 : 58.55 kcal
무침류,삼색겨자냉채,열량 : 251.31 kcal
국류,사골우거지국,열량 : 176.69 kcal
밥류,보리밥(80g),열량 : 326.8 kcal
밥류,보리밥(100g),열량 : 368.1 kcal
보조식,삶은달걀,열량 : 81.81 kcal
밥류,보리밥,열량 : 400.15 kcal
밥류,보리밥,열량 : 294.4 kcal
밥류,보리밥,열량 : 363.1 kcal
밥류,보리밥,열량 : 396.7 kcal
밥류,보리밥,열량 : 363.2 kcal
밥류,보리밥,열량 : 309.1 kcal
김치류,백김치,열량 : 14.8 kcal
김치류,백김치,열량 : 11.1 kcal
김치류,백김치,열량 : 9.6 kcal
김치류,배추김치,열량 : 15.2 kcal
김치류,배추김치,열량 : 11.4 kcal
김치류,배추김치,열량 : 22.8 kcal
밥류,발아현미밥,열량 : 366.4 kcal
기타,매실주스,열량 : 10.65 kcal
기타,매실주스,열량 : 4.26 kcal
보조식,떠먹는 요구르트(플레인),열량 : 71.2 kcal
보조식,떠먹는 요구르트(플레인),열량 : 84.55 kcal
김치류,동치미,열량 : 3.2 kcal
무침류,도라지오이무침,열량 : 41.45 kcal
기타,단무지,열량 : 4.8 kcal
기타,단무지,열량 : 4.8 kcal
무침류,꽃맛살과일샐러드,열량 : 207.85 kcal
무침류,꼬들단무지무침,열량 : 34.85 kcal
밥류,기장보리밥,열량 : 354.45 kcal
밥류,곤드레밥,열량 : 432.66 kcal
무침류,고구마순들깨나물,열량 : 62.93 kcal
국류,건새우근대국,열량 : 59.05 kcal
밥류,강황밥,열량 : 328.97 kcal
밥류,강황밥,열량 : 402.17 kcal
찜류,갈비만두찜,열량 : 177.12 kcal
찜류,갈비만두찜,열량 : 260.32 kcal
김치류,갓김치,열량 : 12.95 kcal
김치류,갓김치,열량 : 11.1 kcal
조림류,소고기우엉채조림,열량 : 95.2 kcal
볶음류,버섯소불고기,열량 : 113.99 kcal
무침류,소고기잡채,열량 : 96.98 kcal
볶음류,버섯소불고기,열량 : 113.99 kcal
밥류,삼색도리아,열량 : 479.86 kcal
국류,조랭이떡국,열량 : 35.24 kcal
구이류,함박스테이크구이,열량 : 175.83 kcal
밥류,오므라이스,열량 : 307.95 kcal
볶음류,오이뱃두리,열량 : 38.8 kcal
국류,맑은육개장,열량 : 47.73 kcal
구이류,수제함박스테이크,열량 : 104.43 kcal
볶음류,소고기브로콜리볶음,열량 : 92.33 kcal
죽류,소고기 누룽지채소죽,열량 : 32.84 kcal
볶음류,소고기버섯볶음,열량 : 108.59 kcal
죽류,소고기브로콜리죽,열량 : 175.26 kcal
죽류,소고기버섯죽,열량 : 173.42 kcal
볶음류,소고기채소볶음,열량 : 52.73 kcal
밥류,양송이덮밥,열량 : 499.42 kcal
죽류,콩나물죽,열량 : 177.41 kcal
면류,골뱅이비빔면,열량 : 379.65 kcal
볶음류,소고기가지볶음,열량 : 74.04 kcal
밥류,장조림덮밥,열량 : 259.7 kcal
찜류,소고기영양찜,열량 : 146.38 kcal
조림류,소고기장조림,열량 : 95.79 kcal
볶음류,소고기청경채볶음,열량 : 100.13 kcal
죽류,건강채소죽,열량 : 264.59 kcal
밥류,소고기주먹밥,열량 : 227.16 kcal
볶음류,소고기당면볶음,열량 : 144.1 kcal
부침류,연근소고기전,열량 : 102.7 kcal
볶음류,소고기파프리카볶음,열량 : 168.12 kcal
국류,소고기맑은국,열량 : 49.82 kcal
국류,경상도식소고기국,열량 : 79.93 kcal
국류,소고기무국,열량 : 161.83 kcal
국류,소고기당면국,열량 : 179.8 kcal
국류,얼큰소고기무국,열량 : 78.95 kcal
국류,육개장/당면,열량 : 168.47 kcal
국류,나주곰탕/당면사리,열량 : 167.68 kcal
국류,곰탕,열량 : 213.84 kcal
무침류,차돌박이파,열량 : 125.45 kcal
무침류,우삼겹겉절이,열량 : 378.29 kcal
면류,열무물국수,열량 : 339.11 kcal
국류,소면설렁탕,열량 : 159.47 kcal
국류,감자풋고추국,열량 : 72.99 kcal
국류,소고기쑥된장국,열량 : 88.49 kcal
국류,육개장,열량 : 199.56 kcal
국류,한우소고기뭇국,열량 : 72.57 kcal
밥류,소고기미역국밥,열량 : 181.73 kcal
면류,버섯칼국수,열량 : 307.83 kcal
면류,버섯칼국수,열량 : 307.83 kcal
면류,소고기양지쌀국수,열량 : 240.1 kcal
국류,차돌된장찌개,열량 : 148.24 kcal
면류,소고기쌀국수,열량 : 347.79 kcal
국류,콩나물소고기무국,열량 : 79.93 kcal
면류,양지쌀국수,열량 : 238.29 kcal
국류,소고기육개장죽,열량 : 344.16 kcal
국류,장터국밥,열량 : 170.14 kcal
면류,소고기쌀국수,열량 : 279.79 kcal
면류,미니양지쌀국수,열량 : 263.59 kcal
국류,차돌박이짬뽕국,열량 : 139.61 kcal
무침류,차돌박이 샐러드,열량 : 91.9 kcal
볶음류,차돌박이숙주볶음,열량 : 252.32 kcal
볶음류,버섯잡채,열량 : 97.96 kcal
볶음류,고추잡채/꽃빵,열량 : 124.48 kcal
