레시피구분,레시피명,열량
조림류,중화풍완자조림,열량 : 372.2 kcal
찜류,한우갈비찜,열량 : 415.94 kcal
무침류,콩나물맛살냉채,열량 : 39.98 kcal
볶음류,오리불고기,열량 : 311.93 kcal
빵류,플레인 베이글,열량 : 602.4 kcal
국류,양파스프,열량 : 95.97 kcal
무침류,단호박견과류범벅,열량 : 140.52 kcal
구이류,소시지(닭고기햄)구이,열량 : 134.65 kcal
튀김류,수제치킨가스,열량 : 371.5 kcal
구이류,옥수수콘치즈,열량 : 241.34 kcal
무침류,충무식오징어무침,열량 : 60.13 kcal
밥류,굴소스야채볶음밥(소),열량 : 268.17 kcal
구이류,너비아니구이,열량 : 398.05 kcal
볶음류,파채바싹돼지불고기,열량 : 115.51 kcal
죽류,참소라야채죽,열량 : 368.12 kcal
무침류,취나물잡채,열량 : 169.15 kcal
볶음류,돼지고기더덕볶음,열량 : 432.2 kcal
기타,양상추샐러드/ 오리엔탈소스,열량 : 26.46 kcal
면류,새우크림파스타,열량 : 295.44 kcal
찜류,바베큐립(소),열량 : 254.98 kcal
무침류,도토리묵야채무침,열량 : 62.73 kcal
볶음류,닭가슴살부추볶음,열량 : 242.1 kcal
튀김류,수제생선까스/타르타르소스,열량 : 256.17 kcal
무침류,녹두묵야채무침,열량 : 54.36 kcal
부침류,감자전,열량 : 122.45 kcal
국류,대구매운탕,열량 : 124.15 kcal
볶음류,토마토스크램블에그,열량 : 176.11 kcal
빵류,우리밀핫도그,열량 : 133.5 kcal
밥류,새우야채볶음밥(소),열량 : 182.16 kcal
볶음류,냉이닭갈비,열량 : 372.28 kcal
밥류,더덕영양밥,열량 : 320.25 kcal
기타,그린샐러드/치아씨드망고드레싱,열량 : 92.98 kcal
무침류,아삭이고추된장무침,열량 : 38.57 kcal
무침류,치커리사과생채,열량 : 34.55 kcal
볶음류,건파래볶음,열량 : 43.66 kcal
구이류,훈제오리채소구이/머스터드소스,열량 : 292.91 kcal
구이류,훈제오리채소구이,열량 : 279.71 kcal
무침류,영양부추건포도무침,열량 : 27.88 kcal
무침류,콩나물무침,열량 : 33.56 kcal
볶음류,주꾸미돼지고기볶음,열량 : 199.62 kcal
기타,그린샐러드/유자드레싱,열량 : 78.61 kcal
조림류,갈치고사리조림,열량 : 172.71 kcal
볶음류,부산어묵파프리카볶음,열량 : 113.01 kcal
볶음류,잡채(버섯 시금치),열량 : 127.95 kcal
조림류,코다리간장조림(그믐),열량 : 130.5 kcal
국류,들깨무채국(초파일),열량 : 290.81 kcal
밥류,산나물비빔밥(초파일),열량 : 380.62 kcal
무침류,북어채무침,열량 : 124.07 kcal
국류,연포탕,열량 : 112.66 kcal
부침류,육전,열량 : 253.85 kcal
구이류,떡갈비구이(완)&amp;파채,열량 : 158.94 kcal
국류,모듬햄부대찌개,열량 : 195.56 kcal
밥류,시래기무밥,열량 : 359.69 kcal
볶음류,오리불고기&amp;무쌈,열량 : 222.29 kcal
밥류,잡곡밥(찹쌀흑미),열량 : 381.3 kcal
조림류,모듬장조림,열량 : 229.34 kcal
구이류,두부구이,열량 : 162.19 kcal
국류,토란탕,열량 : 74.68 kcal
볶음류,파히타,열량 : 105.7 kcal
조림류,코다리간장조림,열량 : 186.44 kcal
볶음류,갑오징어떡볶음,열량 : 176.09 kcal
무침류,느타리버섯볶음,열량 : 51.2 kcal
밥류,은행영양밥,열량 : 303.67 kcal
볶음류,훈제오리볶음,열량 : 241.02 kcal
밥류,팔보채덮밥,열량 : 413.41 kcal
구이류,치킨스테이크,열량 : 252.56 kcal
볶음류,미트볼채소볶음,열량 : 111.21 kcal
밥류,참치마요덮밥,열량 : 408.59 kcal
튀김류,"정식(함박,돈가스,생선가스)",열량 : 355.4 kcal
밥류,잡곡밥(옥수수),열량 : 364.35 kcal
밥류,잡곡밥(현미),열량 : 346.9 kcal
구이류,탄두리치킨,열량 : 240.72 kcal
볶음류,부추잡채,열량 : 147.18 kcal
볶음류,닭안심꽈리고추볶음,열량 : 173.34 kcal
구이류,군만두(완),열량 : 301.45 kcal
밥류,마파두부덮밥,열량 : 435.02 kcal
무침류,시금치나물,열량 : 49.43 kcal
볶음류,불낙볶음,열량 : 311.17 kcal
국류,고추장찌개,열량 : 97.89 kcal
찜류,돈사태떡찜,열량 : 283.94 kcal
튀김류,생선가스(완),열량 : 289.05 kcal
밥류,새우볶음밥,열량 : 422.87 kcal
밥류,삼각김밥,열량 : 200.51 kcal
볶음류,어항가지볶음,열량 : 114.38 kcal
밥류,고추잡채덮밥,열량 : 513.97 kcal
볶음류,닭갈비,열량 : 302.3 kcal
국류,오징어섞어찌개,열량 : 115.72 kcal
볶음류,돈육간장불고기,열량 : 238.74 kcal
밥류,잡곡밥(강낭콩),열량 : 377.4 kcal
조림류,버섯장조림,열량 : 70.27 kcal
구이류,삼치순살구이,열량 : 162.46 kcal
국류,바지락된장찌개,열량 : 101.87 kcal
부침류,호박해물파전,열량 : 238.34 kcal
구이류,꽁치카레구이,열량 : 203.88 kcal
국류,버섯육개장,열량 : 259.26 kcal
튀김류,깐풍기,열량 : 333.46 kcal
구이류,치즈퀘사디아,열량 : 174.45 kcal
밥류,달걀볶음밥(소),열량 : 335.17 kcal
볶음류,마늘돼지불고기,열량 : 305.53 kcal
보조식,마늘바게트과카몰리,열량 : 82.03 kcal
볶음류,소고기느타리볶음,열량 : 112.15 kcal
국류,설렁탕,열량 : 280.63 kcal
구이류,임연수구이,열량 : 266.14 kcal
볶음류,돈채유부볶음,열량 : 209.57 kcal
밥류,소고기국밥,열량 : 566.64 kcal
조림류,고등어조림,열량 : 282.31 kcal
찜류,명란달걀찜,열량 : 133.51 kcal
무침류,오이게맛살냉채,열량 : 43.77 kcal
구이류,갈치순살구이,열량 : 204.41 kcal
조림류,병어조림,열량 : 179.44 kcal
조림류,돼지고기장조림,열량 : 191.91 kcal
밥류,잡곡밥(차조),열량 : 380 kcal
국류,전복미역국,열량 : 75.2 kcal
구이류,맥적구이,열량 : 310.85 kcal
국류,해물순두부찌개,열량 : 90.66 kcal
국류,동죽미역국,열량 : 40.84 kcal
볶음류,어묵느타리잡채,열량 : 111.66 kcal
국류,바지락살콩나물국,열량 : 30.52 kcal
밥류,차조기장밥,열량 : 387.9 kcal
부침류,옥수수참치동그랑땡,열량 : 75.18 kcal
조림류,우엉채호박씨조림,열량 : 90.04 kcal
국류,동태매운탕,열량 : 115.04 kcal
조림류,소시지알감자조림,열량 : 147.36 kcal
조림류,꽈리고추알감자조림,열량 : 114.21 kcal
무침류,꼴뚜기젓무침,열량 : 36.61 kcal
구이류,두부함박스테이크&amp;소스,열량 : 351.57 kcal
찜류,삼색달걀찜,열량 : 98.75 kcal
튀김류,닭봉튀김,열량 : 112.41 kcal
튀김류,닭봉튀김(성인),열량 : 171.42 kcal
국류,콩가루배추된장국,열량 : 42.37 kcal
구이류,단호박달걀오븐구이,열량 : 127.2 kcal
국류,시금치콩나물국,열량 : 64.76 kcal
볶음류,건새우마늘종볶음,열량 : 29.69 kcal
볶음류,취나물볶음,열량 : 48.45 kcal
부침류,감자채전,열량 : 162.21 kcal
부침류,맛살전,열량 : 96.98 kcal
조림류,연근땅콩올리고당조림,열량 : 122.6 kcal
무침류,양배추부추무침,열량 : 105.26 kcal
조림류,연근통마늘조림,열량 : 52.86 kcal
부침류,메밀채소전,열량 : 107.6 kcal
무침류,무짠지무침,열량 : 93.29 kcal
면류,감자들깨수제비,열량 : 92.83 kcal
튀김류,유린기,열량 : 142.08 kcal
무침류,톳나물두부무침,열량 : 78.94 kcal
찜류,명란달걀찜,열량 : 136.3 kcal
국류,오징어두부무국,열량 : 92.11 kcal
무침류,다시마/젓갈쌈장,열량 : 41.8 kcal
밥류,시래기무밥/양념장,열량 : 286.39 kcal
국류,돼지고기두부김치찌개,열량 : 120.1 kcal
구이류,조기양념구이,열량 : 129.81 kcal
구이류,고등어구이,열량 : 211.87 kcal
무침류,치커리사과무침,열량 : 33.37 kcal
국류,두부새우젓찌개,열량 : 36.46 kcal
부침류,김달걀말이,열량 : 95.2 kcal
조림류,메추리알햄조림,열량 : 183.76 kcal
무침류,마늘종진미채무침,열량 : 57.85 kcal
볶음류,낙지볶음,열량 : 116.45 kcal
밥류,쌀밥,열량 : 274.5 kcal
볶음류,꽈리고추멸치볶음,열량 : 80.13 kcal
밥류,굴소스해물볶음밥,열량 : 399.25 kcal
무침류,해파리겨자채무침,열량 : 49.96 kcal
조림류,갈치무조림,열량 : 144.45 kcal
무침류,도토리묵양념장,열량 : 99.06 kcal
부침류,파래달걀말이,열량 : 142.99 kcal
조림류,미트볼조림,열량 : 165.72 kcal
부침류,옥수수전,열량 : 142.83 kcal
국류,꽃게탕,열량 : 89.49 kcal
국류,두부명란젓찌개,열량 : 68.99 kcal
무침류,미나리무생채,열량 : 142.84 kcal
밥류,울타리콩밥,열량 : 257.48 kcal
구이류,파래김구이,열량 : 26.1 kcal
구이류,가자미오븐구이,열량 : 134.85 kcal
면류,매생이칼국수,열량 : 221.66 kcal
부침류,달걀당면전,열량 : 146.71 kcal
튀김류,연북어양념강정,열량 : 229.23 kcal
조림류,돼지고기새송이장조림,열량 : 153.44 kcal
부침류,두부전/양념장,열량 : 150.93 kcal
볶음류,한식잡채,열량 : 160.61 kcal
무침류,닭가슴살사과샐러드,열량 : 92.22 kcal
찜류,버섯야채달걀찜,열량 : 73.95 kcal
구이류,두부오븐구이/발사믹소스,열량 : 123.6 kcal
볶음류,돼지고기양념볶음,열량 : 256.39 kcal
볶음류,오삼불고기,열량 : 171.65 kcal
부침류,팽이달걀말이,열량 : 78.09 kcal
부침류,두부달걀구이,열량 : 172.02 kcal
국류,시래기국,열량 : 61.09 kcal
찜류,수육,열량 : 97 kcal
볶음류,오징어볶음,열량 : 96.97 kcal
조림류,알감자조림,열량 : 114.74 kcal
국류,홍합무국,열량 : 22 kcal
무침류,시금치나물,열량 : 38.3 kcal
국류,무콩비지찌개,열량 : 69.31 kcal
튀김류,닭튀김,열량 : 163.15 kcal
밥류,김치볶음밥,열량 : 366.59 kcal
무침류,들기름막국수무침,열량 : 126.57 kcal
소스류,오리엔탈드레싱,열량 : 8 kcal
튀김류,두부탕수,열량 : 107.47 kcal
무침류,쪽파김무침,열량 : 187.73 kcal
밥류,쭈꾸미볶음덮밥,열량 : 427.48 kcal
무침류,동부묵양념장,열량 : 93.42 kcal
국류,콩나물맑은국,열량 : 7.74 kcal
볶음류,명엽채볶음,열량 : 95.1 kcal
소스류,자장소스,열량 : 177.1 kcal
국류,연포탕,열량 : 54.14 kcal
국류,목살고추장찌개,열량 : 125.36 kcal
볶음류,비엔나채소볶음,열량 : 88.38 kcal
국류,닭곰탕/소면,열량 : 181.8 kcal
구이류,조기구이,열량 : 142.25 kcal
볶음류,두부김치,열량 : 77.92 kcal
볶음류,돼지고기앞다리살불고기,열량 : 160.63 kcal
무침류,오징어겨자냉채,열량 : 86.01 kcal
조림류,밤곤약조림,열량 : 136.87 kcal
국류,동태알탕,열량 : 96.84 kcal
조림류,돼지고기달걀조림,열량 : 150.9 kcal
밥류,완두콩밥,열량 : 280.2 kcal
부침류,옛날소시지전,열량 : 163.46 kcal
밥류,김치볶음밥_양은도시락,열량 : 348.71 kcal
조림류,콩조림,열량 : 92.46 kcal
구이류,임연수살오븐구이,열량 : 182.95 kcal
볶음류,스크램블에그,열량 : 115.39 kcal
국류,청국장찌개,열량 : 68.02 kcal
밥류,유부초밥,열량 : 238.57 kcal
튀김류,채소튀김,열량 : 135.99 kcal
조림류,우엉조림,열량 : 43.85 kcal
밥류,곤드레밥,열량 : 309.09 kcal
죽류,아욱죽,열량 : 345.86 kcal
무침류,오징어젓무침,열량 : 45.09 kcal
볶음류,멸치마늘볶음,열량 : 37.24 kcal
부침류,동태전,열량 : 181.87 kcal
볶음류,멸치볶음,열량 : 55.52 kcal
볶음류,비엔나토마토케첩볶음,열량 : 149.28 kcal
볶음류,닭다리살굴소스볶음,열량 : 134.74 kcal
볶음류,고구마순나물볶음,열량 : 89.15 kcal
부침류,메밀김치전,열량 : 203.91 kcal
조림류,오징어무조림,열량 : 164.77 kcal
볶음류,돼지고기버섯불고기,열량 : 225.06 kcal
국류,북어채콩나물국,열량 : 83.2 kcal
볶음류,어묵잡채,열량 : 145.9 kcal
국류,조갯살미역국,열량 : 29.78 kcal
무침류,실곤약채소무침,열량 : 39.01 kcal
국류,오징어찌개,열량 : 74.7 kcal
볶음류,베이컨달걀스크램블,열량 : 164.37 kcal
조림류,닭안심감자조림,열량 : 125.45 kcal
국류,들깨버섯탕,열량 : 93.06 kcal
찜류,한방보쌈,열량 : 186.93 kcal
찜류,한방보쌈,열량 : 203.62 kcal
조림류,감자엿장조림,열량 : 146.6 kcal
튀김류,닭다리훈제,열량 : 96.75 kcal
보조식,발효산양유요구르트,열량 : 39 kcal
튀김류,수제새우까스,열량 : 111.02 kcal
구이류,훈제오리구이,열량 : 125.1 kcal
조림류,삼치조림,열량 : 168.84 kcal
볶음류,햄감자채볶음,열량 : 86.37 kcal
국류,바지락순두부국,열량 : 80.34 kcal
부침류,동태깻잎전,열량 : 98.54 kcal
볶음류,닭볶음탕,열량 : 214.84 kcal
볶음류,돼지고기고추장불고기,열량 : 232.87 kcal
찜류,달걀채소찜,열량 : 69.42 kcal
부침류,달걀후라이,열량 : 68.94 kcal
조림류,꽈리고추두부조림,열량 : 56.79 kcal
구이류,참가자미구이,열량 : 109.93 kcal
밥류,감자콩밥,열량 : 281.8 kcal
면류,미니잔치국수,열량 : 159.88 kcal
조림류,동태조림,열량 : 116.33 kcal
찜류,순살안동찜닭,열량 : 193.82 kcal
조림류,감자양파조림,열량 : 153.9 kcal
구이류,임연수양념구이,열량 : 119.8 kcal
찜류,순살아귀콩나물찜,열량 : 123.46 kcal
찜류,단호박고구마범벅찜,열량 : 109.81 kcal
조림류,달걀꽈리장조림,열량 : 122.34 kcal
구이류,갈치살구이,열량 : 157.72 kcal
볶음류,돈육버섯불고기,열량 : 153 kcal
무침류,꼬막무침,열량 : 161.53 kcal
무침류,시금치고추장무침,열량 : 89.53 kcal
구이류,삼치구이/와사비장,열량 : 148.3 kcal
무침류,도토리묵김치무침,열량 : 69.22 kcal
볶음류,미역줄기볶음,열량 : 20.41 kcal
볶음류,감자채피망볶음,열량 : 84.19 kcal
볶음류,베이컨숙주볶음,열량 : 112.79 kcal
국류,대구지리,열량 : 66.25 kcal
찜류,해물콩나물찜,열량 : 159.51 kcal
볶음류,팽이버섯양파볶음,열량 : 85.63 kcal
국류,수삼닭백숙,열량 : 127.35 kcal
구이류,삼치구이,열량 : 214.95 kcal
볶음류,김치돼지고기볶음,열량 : 191.86 kcal
국류,소고기감자국,열량 : 173.39 kcal
조림류,목살스테이크조림,열량 : 171.39 kcal
찜류,손두부찜/양념장,열량 : 114.12 kcal
밥류,새우살볶음밥,열량 : 354.26 kcal
찜류,묵은지닭찜,열량 : 138 kcal
밥류,잡곡밥,열량 : 272.8 kcal
밥류,곤드레무밥/양념장,열량 : 289.1 kcal
국류,맑은순두부탕,열량 : 74.02 kcal
무침류,냉이나물,열량 : 39.18 kcal
튀김류,가자미튀김,열량 : 178.68 kcal
부침류,해물동그랑땡구이,열량 : 123.26 kcal
구이류,된장돼지불고기,열량 : 230.4 kcal
빵류,불고기피타브래드,열량 : 447.1 kcal
구이류,삼치유자청구이,열량 : 285.57 kcal
조림류,자반고등어조림,열량 : 238.24 kcal
국류,낙지연포탕,열량 : 91.95 kcal
국류,소고기미역국,열량 : 76.03 kcal
구이류,뱅어포구이,열량 : 101.93 kcal
튀김류,유린기,열량 : 189.79 kcal
빵류,너갯샌드위치,열량 : 600 kcal
죽류,전복닭장각백숙,열량 : 375.45 kcal
보조식,콩연두부&amp;흑임자드레싱,열량 : 254.2 kcal
빵류,소고기샌드위치,열량 : 585.6 kcal
볶음류,김자반,열량 : 35 kcal
빵류,닭가슴살샌드위치,열량 : 600 kcal
빵류,몬테크리스토 샌드위치,열량 : 523.2 kcal
빵류,참치야채샌드위치,열량 : 616.8 kcal
보조식,무지개떡,열량 : 114.5 kcal
보조식,백우유,열량 : 130 kcal
보조식,딸기우유,열량 : 136 kcal
볶음류,돼지고기채부추볶음,열량 : 111.78 kcal
밥류,보리밥1,열량 : 254.2 kcal
볶음류,춘천닭갈비,열량 : 174.22 kcal
구이류,단호박달걀치즈오븐구이,열량 : 39.37 kcal
국류,맑은오징어국,열량 : 24.49 kcal
국류,오징어뭇국,열량 : 53.89 kcal
보조식,어린이요구르트,열량 : 45.5 kcal
보조식,포도주스(완),열량 : 72 kcal
보조식,포도주스,열량 : 72 kcal
밥류,콩고기채소볶음밥,열량 : 151.18 kcal
튀김류,새우튀김,열량 : 83.37 kcal
튀김류,코다리견과류강정,열량 : 75.01 kcal
김치류,배추김치,열량 : 3.8 kcal
국류,북어달걀국,열량 : 49.54 kcal
부침류,두부닭가슴살동그랑땡,열량 : 56.64 kcal
무침류,연근흑임자샐러드,열량 : 57.31 kcal
밥류,누룽지탕(소),열량 : 19.65 kcal
기타,사과,열량 : 28.5 kcal
보조식,요거트,열량 : 57.85 kcal
조림류,실곤약우엉조림,열량 : 32.59 kcal
조림류,곤약우엉조림,열량 : 29.27 kcal
김치류,깍두기,열량 : 7.6 kcal
무침류,어린이영양부추무침,열량 : 12.17 kcal
국류,버섯달걀국,열량 : 38.72 kcal
밥류,흑미밥,열량 : 219.15 kcal
보조식,요구르트,열량 : 65 kcal
김치류,동치미,열량 : 8 kcal
무침류,오징어젓갈,열량 : 48.99 kcal
기타,오이당근피클,열량 : 24.26 kcal
보조식,요구르트(한국야쿠르트),열량 : 42.25 kcal
김치류,포기김치,열량 : 21.55 kcal
조림류,새송이연근조림,열량 : 31.84 kcal
기타,과일꼬치,열량 : 38.2 kcal
국류,바지락미역국,열량 : 22.6 kcal
국류,날콩가루배추된장국,열량 : 42.37 kcal
밥류,해물굴소스볶음밥,열량 : 326.05 kcal
기타,망고샐러드,열량 : 62.88 kcal
조림류,알감자간장조림,열량 : 73.12 kcal
볶음류,돼지고기양념볶음,열량 : 363.16 kcal
볶음류,어린이부들어묵볶음,열량 : 154.66 kcal
튀김류,춘권튀김,열량 : 126.5 kcal
면류,한우쌀국수,열량 : 54.35 kcal
무침류,양배추된장나물,열량 : 27.96 kcal
조림류,닭살데리야끼조림,열량 : 87.7 kcal
국류,쇠고기뭇국,열량 : 64.63 kcal
국류,소고기떡국,열량 : 69.27 kcal
무침류,닭가슴살폭찹,열량 : 115.15 kcal
조림류,미트볼채소조림,열량 : 146.45 kcal
구이류,삼치카레구이,열량 : 88.73 kcal
밥류,돼지고기채소볶음밥,열량 : 271.63 kcal
볶음류,어린이감자채볶음,열량 : 33.93 kcal
볶음류,대구살케첩볶음,열량 : 106.39 kcal
밥류,참치채소볶음밥,열량 : 326.71 kcal
조림류,어린이연근조림,열량 : 136.14 kcal
국류,어린이만둣국,열량 : 57.36 kcal
부침류,어린이해물완자전,열량 : 102.14 kcal
조림류,메추리알버섯조림,열량 : 83.29 kcal
볶음류,호두멸치볶음,열량 : 11.88 kcal
밥류,해물볶음밥,열량 : 239.29 kcal
튀김류,두부커틀릿/소스,열량 : 147.02 kcal
볶음류,소세지떡볶음,열량 : 84.2 kcal
무침류,고구마범벅,열량 : 49.11 kcal
부침류,소고기육전,열량 : 89.89 kcal
볶음류,순살치즈닭갈비,열량 : 146.27 kcal
빵류,크로크무슈,열량 : 155.77 kcal
조림류,떡갈비조림,열량 : 79.85 kcal
국류,부대찌개,열량 : 64.2 kcal
국류,한우사골만두국,열량 : 80.35 kcal
튀김류,코다리강정,열량 : 126.46 kcal
국류,순대국,열량 : 39.71 kcal
국류,사누끼우동국,열량 : 88.8 kcal
밥류,소고기채소볶음밥,열량 : 186.53 kcal
튀김류,수제채소튀김,열량 : 103.93 kcal
국류,낙지연포탕,열량 : 25.38 kcal
무침류,세발나물무침,열량 : 15.18 kcal
볶음류,국물떡볶음,열량 : 99.14 kcal
튀김류,김말이,열량 : 79.88 kcal
국류,근대국,열량 : 19.66 kcal
볶음류,고구마순볶음,열량 : 25.5 kcal
무침류,더덕사과무침,열량 : 36.84 kcal
찜류,돼지갈비떡찜,열량 : 137.35 kcal
튀김류,스코치에그,열량 : 135.15 kcal
부침류,감자전,열량 : 48.79 kcal
조림류,메추리알조림,열량 : 38.44 kcal
구이류,군만두,열량 : 126.1 kcal
기타,멜론,열량 : 14 kcal
구이류,콘치즈구이,열량 : 68.61 kcal
구이류,순살고등어자반구이,열량 : 112.61 kcal
국류,모시조개맑은탕,열량 : 22.48 kcal
밥류,보리밥(중),열량 : 400.1 kcal
밥류,보리밥(중),열량 : 364 kcal
기타,오렌지,열량 : 23.5 kcal
밥류,녹두밥,열량 : 419.5 kcal
밥류,강황밥,열량 : 438.91 kcal
밥류,흑미밥,열량 : 373.14 kcal
밥류,흑미밥,열량 : 299.94 kcal
밥류,강황밥,열량 : 402.31 kcal
밥류,옥수수차조밥,열량 : 352.3 kcal
밥류,늘보리밥,열량 : 400.6 kcal
밥류,귀리현미밥,열량 : 322.06 kcal
밥류,강황밥,열량 : 329.11 kcal
밥류,동부콩밥,열량 : 400.75 kcal
밥류,흑미차조밥,열량 : 387.81 kcal
밥류,차조밥(소),열량 : 249 kcal
밥류,옥수수기장밥,열량 : 388.6 kcal
밥류,발아흑미찰밥,열량 : 291.8 kcal
국류,단호박크림스프,열량 : 107.81 kcal
밥류,현미수수밥,열량 : 365.9 kcal
밥류,찰현미밥,열량 : 365 kcal
밥류,찹쌀현미밥,열량 : 395.28 kcal
밥류,기장보리밥,열량 : 393.85 kcal
밥류,옥수수밥,열량 : 389.6 kcal
밥류,백미쌀밥,열량 : 256.2 kcal
밥류,찹쌀서리태밥,열량 : 414.69 kcal
밥류,발아현미쌀밥,열량 : 293.8 kcal
밥류,서리태밥,열량 : 414.69 kcal
밥류,찰옥수수밥,열량 : 437.4 kcal
밥류,현미찹쌀밥,열량 : 401.95 kcal
밥류,흑미찰밥,열량 : 382.85 kcal
밥류,귀리밥(소),열량 : 331 kcal
밥류,강황찹쌀밥,열량 : 366.74 kcal
밥류,현미찹쌀밥,열량 : 365.35 kcal
밥류,보리밥,열량 : 400.6 kcal
보조식,꿀떡(소),열량 : 63 kcal
밥류,흑미밥,열량 : 336.54 kcal
볶음류,미나리돼지고기볶음,열량 : 209.68 kcal
밥류,강황밥,열량 : 365.71 kcal
밥류,렌틸콩밥(소),열량 : 274.15 kcal
밥류,수수현미밥,열량 : 395.02 kcal
밥류,흑미찹쌀밥,열량 : 391.29 kcal
밥류,흑미밥,열량 : 318.24 kcal
밥류,보리밥(소),열량 : 290.8 kcal
밥류,보리밥(소),열량 : 254.2 kcal
무침류,양념생깻잎지,열량 : 30.21 kcal
김치류,동치미,열량 : 2.4 kcal
밥류,흑미현미밥,열량 : 384.27 kcal
국류,토마토채소스프,열량 : 55.35 kcal
밥류,보리밥(멥쌀70g/보리10g)),열량 : 290.8 kcal
밥류,늘보리밥(멥쌀90/늘보리10g),열량 : 364 kcal
밥류,늘보리밥(멥쌀80g/늘보리10g),열량 : 327.4 kcal
면류,사누끼우동(소),열량 : 119.23 kcal
국류,아욱양파된장국,열량 : 41.46 kcal
국류,콩나물김치국,열량 : 23.26 kcal
보조식,메론,열량 : 40 kcal
기타,아이스크림(우유맛),열량 : 246 kcal
국류,팽이버섯시금치된장국,열량 : 38.2 kcal
보조식,배주스,열량 : 63 kcal
국류,새알심들깨미역국,열량 : 67.5 kcal
보조식,바나나,열량 : 61.6 kcal
국류,꽃게어묵국,열량 : 76.86 kcal
무침류,명이나물장아찌,열량 : 16.5 kcal
볶음류,돈육숯불불고기,열량 : 199.65 kcal
조림류,콩자반,열량 : 81.3 kcal
구이류,단호박구이,열량 : 43.06 kcal
국류,팽이버섯미소된장국,열량 : 31.11 kcal
국류,해물토마토스튜,열량 : 131.97 kcal
기타,미니샐러드&amp;키위드레싱,열량 : 17.85 kcal
면류,쑥갓우동,열량 : 352.26 kcal
무침류,파프리카잡채,열량 : 141.24 kcal
국류,열무바지락된장국,열량 : 37.72 kcal
볶음류,야채잡채,열량 : 118.45 kcal
김치류,갓김치,열량 : 14.8 kcal
보조식,땡모반(수박주스),열량 : 85.85 kcal
보조식,가래떡구이,열량 : 173.57 kcal
보조식,시루떡,열량 : 108.6 kcal
구이류,떡꼬치,열량 : 191.85 kcal
보조식,절편버터구이,열량 : 256.75 kcal
찜류,옥수수찜,열량 : 156.7 kcal
밥류,누룽지튀김(중),열량 : 409.6 kcal
밥류,누룽지튀김(소),열량 : 213.1 kcal
튀김류,오징어튀김,열량 : 463.17 kcal
빵류,핫도그&amp;케첩,열량 : 217.65 kcal
빵류,크림치즈베이글,열량 : 476.75 kcal
빵류,소보로빵,열량 : 415 kcal
빵류,패스츄리,열량 : 319.9 kcal
튀김류,치즈볼,열량 : 230.58 kcal
국류,두부달걀찜,열량 : 70.02 kcal
밥류,새우살마파두부덮밥,열량 : 374.68 kcal
면류,칡냉면(물),열량 : 507.75 kcal
무침류,해초무우초무침,열량 : 17.18 kcal
볶음류,마늘종볶음,열량 : 47.22 kcal
무침류,마늘종지무침(완),열량 : 25.51 kcal
무침류,마늘종무침,열량 : 45.14 kcal
튀김류,미니후렌치후라이&amp;케찹,열량 : 112.95 kcal
밥류,수수현미밥(멥쌀100g),열량 : 395.02 kcal
밥류,현미찹쌀밥(멥쌀100g),열량 : 401.95 kcal
밥류,기장보리밥(멥쌀100g),열량 : 393.85 kcal
밥류,강황밥(멥쌀110g),열량 : 438.91 kcal
밥류,서리태밥(멥쌀100g),열량 : 414.69 kcal
밥류,보리밥(멥쌀100g),열량 : 400.1 kcal
밥류,옥수수밥(멥쌀100g),열량 : 389.6 kcal
밥류,녹두밥(멥쌀90g),열량 : 364.6 kcal
밥류,녹두밥(멥쌀80g찹쌀10g),열량 : 364.3 kcal
구이류,닭꼬치,열량 : 207.45 kcal
보조식,자두,열량 : 13 kcal
빵류,꽈배기,열량 : 210.6 kcal
빵류,꽈배기(완),열량 : 145.5 kcal
빵류,핫도그(완),열량 : 133.5 kcal
밥류,동부콩밥(멥쌀100g),열량 : 400.75 kcal
밥류,흑미현미밥(100g),열량 : 384.27 kcal
밥류,옥수수기장밥(멥쌀100g),열량 : 388.6 kcal
밥류,기장밥(멥쌀70g),열량 : 267 kcal
밥류,기장밥(멥쌀65g),열량 : 248.7 kcal
밥류,차조밥(멥쌀65g),열량 : 249 kcal
무침류,곤약채오이샐러드,열량 : 90.44 kcal
밥류,귀리현미밥(멥쌀85g),열량 : 340.36 kcal
밥류,귀리현미밥(멥쌀80g),열량 : 322.06 kcal
밥류,늘보리밥(멥쌀100g),열량 : 400.6 kcal
밥류,옥수수차조밥(멥쌀90g),열량 : 352.3 kcal
무침류,시금치두부들깨가루무침,열량 : 63.18 kcal
밥류,귀리차조밥(멥쌀100g),열량 : 388.56 kcal
면류,초계국수,열량 : 293.18 kcal
기타,바나나(생과일),열량 : 61.6 kcal
밥류,차조기장밥(멥쌀100g),열량 : 387.9 kcal
구이류,떡꼬치,열량 : 106.65 kcal
밥류,녹두밥(백미110g),열량 : 437.8 kcal
밥류,녹두밥(백미100g),열량 : 401.2 kcal
밥류,녹두밥(백미105g),열량 : 419.5 kcal
밥류,보리밥(멥쌀60g),열량 : 254.2 kcal
찜류,오징어군만두,열량 : 197.32 kcal
조림류,미트볼떡조림,열량 : 201.51 kcal
찜류,옥수수(찜),열량 : 70.5 kcal
밥류,밤밥,열량 : 324.85 kcal
빵류,토스트,열량 : 69.75 kcal
볶음류,소고기야채떡볶음,열량 : 457.8 kcal
빵류,치킨브리또,열량 : 241.77 kcal
밥류,옥수수밥(소),열량 : 200.7 kcal
