,레시피구분,레시피명,열량
177,면류,버섯칼국수,307.83
178,면류,소고기양지쌀국수,240.1
179,국류,차돌된장찌개,148.24
180,면류,소고기쌀국수,347.79
181,국류,콩나물소고기무국,79.93
182,면류,양지쌀국수,238.29
183,국류,소고기육개장죽,344.16
184,면류,미니양지쌀국수,263.59
185,국류,차돌박이짬뽕국,139.61
186,무침류,차돌박이 샐러드,91.9
187,볶음류,차돌박이숙주볶음,252.32
188,볶음류,버섯잡채,97.96
189,볶음류,고추잡채/꽃빵,124.48
190,볶음류,소고기떡잡채,149.84
191,볶음류,맛불고기잡채,229.49
192,무침류,타이식소고기와오이샐러드,111.55
193,밥류,단풍사색덮밥,588.82
194,구이류,미니함박스테이크,260.23
195,볶음류,떡잡채,187.74
196,구이류,햄버거스테이크와김치소스,184.87
197,볶음류,언양식바싹불고기,157.16
198,볶음류,소고기뚝배기불고기,259.72
199,볶음류,국물불고기,184.91
200,볶음류,떡앤치즈,13.96
201,구이류,불고기구이,305.08
202,볶음류,소고기버섯불고기,171.79
203,국류,소고기버섯전골,87.45
204,밥류,소고기카레라이스,648.88
205,구이류,눈꽃소고기함박스테이크,264.52
206,튀김류,소고기가래떡탕수,591.1
207,튀김류,소고기브로콜리탕수,266.06
208,볶음류,소불고기떡볶음,243.75
209,볶음류,소고기우스타소스볶음,171.72
210,무침류,소고기샐러드,144.18
211,볶음류,우삼겹청경채볶음,168.87
212,국류,차돌두부된장찌개,37.62
213,구이류,함박스테이크(파인애플&amp;방울토마토 토핑),184.57
214,구이류,떡갈비구이(수제),211.05
215,밥류,소불고기브리또,431.27
216,구이류,치즈함박스테이크,187.63
217,구이류,눈꽃치즈함박스테이크,191.65
218,구이류,김치치즈함박스테이크,236.85
219,구이류,체다함박스테이크,190.73
220,볶음류,소고기채파프리카볶음,107.76
221,밥류,브리또,431.27
222,볶음류,궁중떡볶음,136.6
223,구이류,파인애플함박스테이크,179.73
224,볶음류,소고기양배추볶음,123.03
225,밥류,나물비빔밥,331.9
226,국류,떡국,144.27
227,국류,소고기미역국,58.23
228,볶음류,불고기,176.91
229,볶음류,서울식불고기&amp;당면사리,188.16
230,볶음류,파채소고기볶음,304.89
231,죽류,소고기채소죽,146.71
232,조림류,소고기마늘장조림,153.15
233,국류,설렁탕,86.28
234,찜류,소고기떡찜,106.25
235,국류,갈비탕/당면,174.18
236,찜류,단호박사태찜,185.3
237,국류,소고기달걀떡국,222.52
238,국류,소고기떡국,222.52
239,국류,달걀떡국,222.52
240,국류,사골떡국,214.02
241,국류,우거지해장국,111.13
242,국류,갈비탕,362.33
243,국류,제주도식해장국,60.94
244,찜류,궁중갈비찜,196.46
245,국류,버섯들깨매운탕,96.44
246,국류,콩나물소고기국,105.23
247,면류,쌀국수,185.22
248,국류,시래기해장국,116.66
249,국류,대파육개장,181.4
250,볶음류,숙주우엉잡채,36.59
251,튀김류,중국식어향가지볶음,88.54
252,국류,차돌박이육개장,134.92
253,볶음류,우채표고볶음,353.84
254,국류,토마소소고기스튜,341.32
255,볶음류,소불고기낙지볶음,383.39
256,볶음류,소고기셀러리볶음,205.86
257,볶음류,알감자강정,100.92
258,볶음류,우불당면볶음,404.76
259,구이류,소고기찹스테이크,272.14
260,무침류,어린이고사리나물,91.28
261,볶음류,언양식숯불불고기,347.0
262,볶음류,소불고기당면볶음,574.67
263,구이류,떡갈비구이,112.04
264,국류,소고기토란탕,106.36
265,밥류,단호박병아리콩카레라이스,426.25
266,무침류,느타리청경채부추들깨무침,37.99
267,면류,미니잔치국수,208.01
268,무침류,꼬막양념무침,57.06
269,찜류,애호박찜/양념장,24.54
270,밥류,토마토달걀볶음밥,252.82
271,국류,배추된장국,23.48
272,무침류,게살콩나물무침,30.89
273,밥류,베이컨로제리조또,334.83
274,국류,두부들?국,40.46
275,국류,두부들깨국,40.46
276,찜류,무지개달걀찜,101.81
277,면류,베이컨로제파스타,256.06
278,국류,모듬버섯국,15.68
279,부침류,해물완자전,102.03
280,부침류,완자전,79.05
281,볶음류,훈제오리피망볶음,105.15
282,볶음류,잘게자른주꾸미볶음,110.68
283,보조식,미니가래떡,180.64
284,보조식,가래떡구이,88.37
285,밥류,치킨데리야끼덮밥,317.91
286,무침류,모듬샐러드,92.2
287,조림류,돼지고기꽈리장조림,116.36
288,볶음류,어린이훈제오리야채볶음,54.69
289,조림류,가자미살무조림,115.59
290,면류,새우크림스파게티,199.4
291,국류,콩가루배춧국,14.93
292,볶음류,오리불고기,125.65
293,밥류,하이라이스,280.69
294,찜류,치즈달걀찜,71.75
295,밥류,훈제오리양파덮밥,325.12
296,무침류,게살숙주나물,19.77
297,무침류,게살당근무침,30.97
298,국류,닭백숙,73.13
299,밥류,닭살짜장밥,293.08
300,무침류,게살샐러드,63.78
301,볶음류,게살브로콜리볶음,38.77
302,무침류,게살콘샐러드,72.18
303,밥류,닭살채소볶음밥,294.31
304,볶음류,닭살부추볶음,71.09
305,국류,달래두부된장국,31.45
306,밥류,안매운김치치즈볶음밥,229.05
307,국류,무순된장국,23.63
308,볶음류,브로콜리달걀볶음,50.98
309,조림류,돼지고기장조림,87.89
310,튀김류,새송이버섯탕수/소스,97.41
311,조림류,완자조림,101.68
312,조림류,삼치데리야끼조림,116.01
313,조림류,어린이돼지고기장조림,97.99
314,보조식,우유,130.0
315,찜류,목살김치찜,126.44
316,국류,버섯장국,23.99
317,무침류,토마토치커리무침,11.34
318,부침류,맛살채소전,102.56
319,국류,두부젓국,37.06
320,밥류,안매운김치볶음밥,248.15
321,국류,한우갈비탕,77.64
322,튀김류,수제탕수육/과일소스,144.27
323,국류,돼지고기김치찌개,249.77
324,무침류,시금치무침,79.13
325,구이류,굴비구이(설날),145.7
326,국류,떡만두국(설날),199.98
327,구이류,소고기산적(설날),105.9
328,무침류,닭가슴살달걀샐러드,97.5
329,국류,가자미미역국,87.36
330,보조식,수리취떡(단오),64.0
331,부침류,새송이전(단오),74.37
332,국류,쑥애탕국(단오),138.48
333,국류,연포탕(무오일),134.2
334,국류,버섯맑은찌개,54.76
335,볶음류,잔멸치볶음,89.14
336,조림류,조기양념조림,133.04
337,밥류,버섯영양밥/양념장,232.94
338,부침류,밀전병(유두절),168.0
339,밥류,잡곡밥(소)-유두절,400.6
340,국류,소고기무국(유두절),160.86
341,볶음류,묵은지돼지불고기,140.23
342,볶음류,돼지고기불고기,297.6
343,부침류,달걀후라이,90.77
344,구이류,장어양념구이,185.03
345,국류,시래기된장국,28.37
346,국류,바지락쑥국,94.75
347,튀김류,콩고기버섯탕수육,197.28
348,면류,미니한우쌀국수,233.85
349,밥류,아주까리나물밥,434.32
350,구이류,통고구마버터구이,97.53
351,조림류,달걀장조림,160.98
352,밥류,꽁보리밥(비빔밥용),192.32
353,보조식,바게트과카몰리,73.93
354,찜류,마늘보쌈,594.7
355,찜류,교자만두찜,218.72
356,면류,닭칼국수,425.45
357,볶음류,한우버섯불고기,118.31
358,볶음류,돼지고기폭찹,110.44
359,구이류,자반고등어구이,243.45
360,볶음류,오징어돼지고기불고기,113.57
361,찜류,등갈비찜,123.03
362,국류,아욱국,41.01
363,튀김류,수제치킨가스/소스,110.07
364,무침류,근대나물무침,57.09
365,볶음류,모듬잡채,59.75
366,밥류,서리태밥,202.5
367,국류,맑은동태국,20.89
368,조림류,두부양념장조림,65.29
369,부침류,해물부추전,58.8
370,볶음류,돼지고기굴소스볶음,70.66
371,볶음류,간장오리주물럭볶음,103.06
372,밥류,오곡밥(대보름),421.45
373,찜류,중화절송편(완),188.37
374,구이류,고등어구이(중화절),295.05
375,볶음류,오리불고기&amp;무쌈(단오),195.19
376,볶음류,감자채볶음,47.69
377,국류,삼계탕(삼복),382.66
378,무침류,참나물무침,10.73
379,부침류,햄채소달걀말이,69.52
