,레시피구분,레시피명,열량
739,구이류,구운채소샐러드,70.73
740,튀김류,자장떡볶이,141.31
741,조림류,표고달걀장조림,121.48
742,구이류,연어리코타샐러드,98.22
743,김치류,풋고추오이소박이,21.17
744,면류,초계냉국수,610.9
745,무침류,비빔만두,194.26
746,볶음류,대패삼겹김치볶음,213.64
747,국류,부추새우달걀국,86.5
748,부침류,깻잎육전,222.09
749,볶음류,굴소스어묵볶음,101.9
750,조림류,햄감자조림,96.75
751,무침류,참나물배무침,30.26
752,무침류,시금치고추장무침,62.21
753,찜류,보쌈(소),290.7
754,볶음류,닭다리살굴소스볶음,280.94
755,무침류,실곤약초장무침,27.59
756,무침류,꼬막도토리묵무침,82.11
757,볶음류,참치양배추볶음,79.25
758,부침류,미나리감자전,290.33
759,면류,아욱고추장수제비,102.66
760,국류,토마토스프,92.06
761,구이류,베이컨감자구이,157.41
762,밥류,훈제연어덮밥,542.91
763,국류,표고버섯들깨탕,174.18
764,볶음류,매콤까르보닭갈비,335.51
765,볶음류,소고기마파두부,208.39
766,국류,팽이버섯장국,28.14
767,국류,알탕,52.84
768,국류,황태채사골만두국,157.93
769,무침류,숙주맛살무침,33.69
770,무침류,비름고추장무침,23.93
771,무침류,오이고추된장무침,22.04
772,밥류,보리열무비빔밥,230.8
773,조림류,코다리살호박조림,174.12
774,국류,수삼삼계탕,173.87
775,볶음류,건나물볶음,42.81
776,국류,삼계탕,99.85
777,조림류,코다리단호박조림,107.76
778,무침류,꼬시래기무침,36.06
779,구이류,광양식불고기,208.18
780,국류,바지락무국,149.81
781,국류,차돌얼갈이된장국,88.37
782,튀김류,감자고로케,230.8
783,밥류,토마토카레덮밥,495.25
784,무침류,크레미 파프리카냉채,21.17
785,국류,손만둣국,292.82
786,구이류,숯불맛닭꼬치,172.65
787,국류,부추달걀국,154.4
788,무침류,연근브로콜리샐러드,181.74
789,볶음류,고추장불고기,180.61
790,국류,감자미역국,70.1
791,밥류,통영비빔밥,366.44
792,무침류,무말랭이무생채,106.18
793,무침류,알배기배추쌈/쌈장,24.0
794,찜류,보쌈,327.9
795,무침류,메밀묵/양념장,80.94
796,볶음류,비엔나소시지볶음,239.95
797,구이류,파래김구이,41.25
798,밥류,감자밥,381.2
799,찜류,미더덕콩나물찜,177.49
800,죽류,사골황태죽,472.02
801,찜류,꼬막찜,72.73
802,국류,들기름무채국,105.44
803,구이류,찹쌀연근구이,268.51
804,구이류,허브알감자구이,103.88
805,조림류,닭다리살야채볶음,243.98
806,조림류,우엉호두조림,196.07
807,볶음류,감자채양파볶음,177.66
808,찜류,블루베리단호박샐러드,105.07
809,볶음류,야채가니쉬,61.43
810,구이류,로스트 치킨,327.72
811,구이류,마늘떡갈비,256.07
812,구이류,커리 부르스트,356.4
813,죽류,삼계죽,277.45
814,볶음류,우엉잡채,99.97
815,구이류,레몬임연수구이,246.4
816,국류,홍합무국,44.14
817,무침류,세발오이무침,33.56
818,밥류,야채자장밥,367.0
819,무침류,꼬들단무지(완),12.58
820,밥류,산채비빔밥&amp;표고약고추장,607.57
821,국류,속풀이추어탕,110.52
822,국류,맑은감자국,52.7
823,무침류,청경채버섯들깨무침,34.68
824,볶음류,어묵파프리카볶음,138.48
825,무침류,느타리마늘종무침,48.83
826,무침류,느타리마늘종볶음,67.8
827,보조식,딸기과일샐러드,98.94
828,볶음류,미역줄기팽이볶음,36.77
829,조림류,갈치무우조림,185.89
830,볶음류,닭가슴살브로콜리볶음,282.13
831,보조식,샤인머스켓,79.2
832,무침류,중국식오이무침(세계음식-중국),47.08
833,조림류,동파육(세계음식-중국),394.15
834,면류,잔치국수,134.29
835,국류,연배추된장국,26.47
836,볶음류,돼지고기파채볶음,275.36
837,볶음류,주꾸미미나리볶음밥,608.83
838,무침류,쫄면무침,226.29
839,볶음류,오리버섯불고기,208.06
840,밥류,열무비빔밥,603.73
841,볶음류,새우브로콜리볶음,64.85
842,볶음류,무나물들깨볶음,38.34
843,볶음류,파래볶음(건),43.66
844,조림류,파인애플미트볼조림,219.4
845,무침류,청경채들깨무침,20.39
846,볶음류,묵은지지짐,102.15
847,무침류,콜라비생채,24.79
848,보조식,떡(아몬드인절미),118.41
849,조림류,메추리알조림,147.31
850,국류,들깨가루미역국,39.99
851,무침류,달래오이무침,27.3
852,무침류,비트양파장아찌,39.83
853,국류,황기백숙,273.49
854,볶음류,새송이파프리카볶음,100.08
855,밥류,꼬막야채비빔밥,419.03
856,구이류,레몬삼치구이,353.27
857,볶음류,새송이버섯구이,101.28
858,무침류,달래무침,38.27
859,무침류,콥샐러드,52.07
860,찜류,등갈비김치찜,294.47
861,국류,편수(유두절),248.65
862,김치류,오이소박이(유두절),18.5
863,찜류,묵은지등갈비찜,454.67
864,김치류,열무김치(완),19.2
865,밥류,잡곡밥(혼합)-절기,366.3
866,국류,건새우아욱된장국(중양절),76.97
867,볶음류,표고버섯볶음(중양절),53.93
868,찜류,송편(완)-한가위,98.77
869,찜류,찜닭(한가위),326.69
870,볶음류,궁중잡채(한가위),190.54
871,김치류,나박김치(완)-한가위,3.5
872,국류,토란탕(한가위),53.38
873,국류,버섯매운탕,97.83
874,조림류,대구양념조림,142.92
875,밥류,햅쌀밥(한가위),343.0
876,조림류,치즈불닭,480.08
877,면류,토마토해물파스타,311.24
878,국류,옥수수스프,254.07
879,면류,감자칼국수,301.08
880,밥류,후리카케김주먹밥(소),170.94
881,무침류,케이준샐러드,263.45
882,밥류,취나물영양밥,348.86
883,구이류,달걀야채말이&amp;케찹,170.74
884,볶음류,돼지고기숙주볶음,290.07
885,면류,들깨인삼칼국수,457.6
886,밥류,야채볶음밥,368.82
887,튀김류,맛감자튀김&amp;케찹,200.95
888,구이류,함박스테이크&amp;데미소스,311.19
889,죽류,소고기표고버섯죽,559.46
890,부침류,동그랑땡전,182.7
891,무침류,고추장아찌,52.38
892,조림류,참소라장조림,80.83
893,볶음류,돈불고기,389.35
894,볶음류,부들어묵야채볶음,133.56
895,구이류,훈제오리부추구이&amp;허니머스터드소스,494.86
896,무침류,부추양파무침,20.16
897,국류,김치콩나물국,67.9
898,튀김류,장어튀김&amp;칠리소스,330.41
899,조림류,가자미데리야끼조림,190.84
900,찜류,비타민D연두부&amp;양념장,42.35
901,국류,산채국,66.01
902,볶음류,몽골리안포크,437.0
903,밥류,게살볶음밥,493.1
904,밥류,뿌리채소영양밥(삼짓날),366.9
905,부침류,화전(삼짓날),246.42
906,국류,샤브샤브전골(삼짓날),331.05
907,김치류,포기김치(절기),30.4
908,무침류,옛날탕평채무침(삼짓날),106.18
909,무침류,세발나물(삼짓날),9.84
910,국류,브로콜리크림스프,153.63
911,무침류,시금치오렌지샐러드,35.47
912,밥류,굴소스야채볶음밥(소),299.82
913,국류,마크림스프,299.47
914,부침류,고추장떡,263.15
915,국류,한우곰탕,168.63
916,무침류,오징어젓쪽파무침,61.84
917,밥류,김치볶음밥&amp;달걀후라이,559.43
918,구이류,고등어구이&amp;와사비장,203.5
919,무침류,풋고추낫또무침,39.55
920,조림류,중화풍완자조림,372.2
921,찜류,한우갈비찜,415.94
922,무침류,콩나물맛살냉채,39.98
923,국류,양파스프,95.97
924,무침류,단호박견과류범벅,140.52
925,구이류,소시지(닭고기햄)구이,134.65
926,튀김류,수제치킨가스,371.5
927,구이류,옥수수콘치즈,241.34
928,무침류,충무식오징어무침,60.13
929,구이류,너비아니구이,398.05
930,볶음류,파채바싹돼지불고기,115.51
931,죽류,참소라야채죽,368.12
932,볶음류,돼지고기더덕볶음,432.2
933,면류,새우크림파스타,295.44
934,찜류,바베큐립(소),254.98
935,무침류,도토리묵야채무침,62.73
936,볶음류,닭가슴살부추볶음,242.1
937,튀김류,수제생선까스/타르타르소스,256.17
938,무침류,녹두묵야채무침,54.36
939,부침류,감자전,122.45
940,국류,대구매운탕,124.15
941,볶음류,토마토스크램블에그,176.11
942,밥류,새우야채볶음밥(소),182.16
943,볶음류,냉이닭갈비,372.28
944,밥류,더덕영양밥,320.25
945,무침류,아삭이고추된장무침,38.57
946,무침류,치커리사과생채,34.55
947,볶음류,건파래볶음,43.66
948,구이류,훈제오리채소구이/머스터드소스,292.91
949,구이류,훈제오리채소구이,279.71
950,무침류,영양부추건포도무침,27.88
951,볶음류,주꾸미돼지고기볶음,199.62
952,조림류,갈치고사리조림,172.71
953,볶음류,부산어묵파프리카볶음,113.01
954,볶음류,잡채(버섯 시금치),127.95
955,조림류,코다리간장조림(그믐),130.5
956,국류,들깨무채국(초파일),290.81
957,밥류,산나물비빔밥(초파일),380.62
958,무침류,북어채무침,124.07
959,국류,연포탕,112.66
960,부침류,육전,253.85
961,구이류,떡갈비구이(완)&amp;파채,158.94
962,국류,모듬햄부대찌개,195.56
963,밥류,시래기무밥,359.69
964,볶음류,오리불고기&amp;무쌈,222.29
965,밥류,잡곡밥(찹쌀흑미),381.3
966,조림류,모듬장조림,229.34
967,국류,토란탕,74.68
968,볶음류,파히타,105.7
969,조림류,코다리간장조림,186.44
970,볶음류,갑오징어떡볶음,176.09
971,무침류,느타리버섯볶음,51.2
972,밥류,은행영양밥,303.67
973,볶음류,훈제오리볶음,241.02
974,밥류,팔보채덮밥,413.41
975,볶음류,미트볼채소볶음,111.21
976,밥류,참치마요덮밥,408.59
977,튀김류,"정식(함박,돈가스,생선가스)",355.4
978,밥류,잡곡밥(옥수수),364.35
979,밥류,잡곡밥(현미),346.9
980,볶음류,부추잡채,147.18
981,볶음류,닭안심꽈리고추볶음,173.34
982,구이류,군만두(완),301.45
983,밥류,마파두부덮밥,435.02
984,무침류,시금치나물,49.43
985,볶음류,불낙볶음,311.17
986,국류,고추장찌개,97.89
987,찜류,돈사태떡찜,283.94
988,튀김류,생선가스(완),289.05
989,밥류,새우볶음밥,422.87
990,밥류,삼각김밥,200.51
991,볶음류,어항가지볶음,114.38
992,밥류,고추잡채덮밥,513.97
993,볶음류,닭갈비,302.3
994,국류,오징어섞어찌개,115.72
995,볶음류,돈육간장불고기,238.74
996,밥류,잡곡밥(강낭콩),377.4
997,조림류,버섯장조림,70.27
998,구이류,삼치순살구이,162.46
999,국류,바지락된장찌개,101.87
1000,부침류,호박해물파전,238.34
1001,구이류,꽁치카레구이,203.88
1002,국류,버섯육개장,259.26
1003,튀김류,깐풍기,333.46
1004,구이류,치즈퀘사디아,174.45
1005,밥류,달걀볶음밥(소),335.17
1006,볶음류,마늘돼지불고기,305.53
1007,보조식,마늘바게트과카몰리,82.03
1008,볶음류,소고기느타리볶음,112.15
1009,구이류,임연수구이,266.14
1010,볶음류,돈채유부볶음,209.57
1011,밥류,소고기국밥,566.64
1012,조림류,고등어조림,282.31
1013,무침류,오이게맛살냉채,43.77
1014,구이류,갈치순살구이,204.41
1015,조림류,병어조림,179.44
1016,밥류,잡곡밥(차조),380.0
1017,구이류,맥적구이,310.85
1018,국류,해물순두부찌개,90.66
1019,국류,동죽미역국,40.84
1020,볶음류,어묵느타리잡채,111.66
1021,국류,바지락살콩나물국,30.52
1022,밥류,차조기장밥,387.9
1023,부침류,옥수수참치동그랑땡,75.18
1024,조림류,우엉채호박씨조림,90.04
1025,국류,동태매운탕,115.04
1026,조림류,소시지알감자조림,147.36
1027,조림류,꽈리고추알감자조림,114.21
1028,무침류,꼴뚜기젓무침,36.61
1029,구이류,두부함박스테이크&amp;소스,351.57
1030,찜류,삼색달걀찜,98.75
1031,튀김류,닭봉튀김,112.41
1032,튀김류,닭봉튀김(성인),171.42
1033,국류,콩가루배추된장국,42.37
1034,구이류,단호박달걀오븐구이,127.2
1035,국류,시금치콩나물국,64.76
1036,볶음류,건새우마늘종볶음,29.69
1037,볶음류,취나물볶음,48.45
1038,부침류,감자채전,162.21
1039,부침류,맛살전,96.98
1040,조림류,연근땅콩올리고당조림,122.6
1041,무침류,양배추부추무침,105.26
1042,조림류,연근통마늘조림,52.86
1043,부침류,메밀채소전,107.6
1044,무침류,무짠지무침,93.29
1045,면류,감자들깨수제비,92.83
1046,튀김류,유린기,142.08
1047,무침류,톳나물두부무침,78.94
1048,국류,오징어두부무국,92.11
1049,무침류,다시마/젓갈쌈장,41.8
1050,밥류,시래기무밥/양념장,286.39
1051,국류,돼지고기두부김치찌개,120.1
1052,구이류,조기양념구이,129.81
1053,구이류,고등어구이,211.87
1054,무침류,치커리사과무침,33.37
1055,국류,두부새우젓찌개,36.46
1056,부침류,김달걀말이,95.2
1057,조림류,메추리알햄조림,183.76
1058,무침류,마늘종진미채무침,57.85
1059,볶음류,낙지볶음,116.45
1060,볶음류,꽈리고추멸치볶음,80.13
1061,밥류,굴소스해물볶음밥,399.25
1062,무침류,해파리겨자채무침,49.96
1063,조림류,갈치무조림,144.45
1064,무침류,도토리묵양념장,99.06
1065,부침류,파래달걀말이,142.99
1066,조림류,미트볼조림,165.72
1067,부침류,옥수수전,142.83
1068,국류,두부명란젓찌개,68.99
1069,무침류,미나리무생채,142.84
1070,밥류,울타리콩밥,257.48
1071,구이류,가자미오븐구이,134.85
1072,면류,매생이칼국수,221.66
1073,부침류,달걀당면전,146.71
1074,튀김류,연북어양념강정,229.23
1075,조림류,돼지고기새송이장조림,153.44
1076,부침류,두부전/양념장,150.93
1077,볶음류,한식잡채,160.61
1078,무침류,닭가슴살사과샐러드,92.22
1079,찜류,버섯야채달걀찜,73.95
1080,구이류,두부오븐구이/발사믹소스,123.6
1081,볶음류,돼지고기양념볶음,256.39
1082,볶음류,오삼불고기,171.65
1083,부침류,두부달걀구이,172.02
1084,국류,시래기국,61.09
1085,찜류,수육,97.0
1086,볶음류,오징어볶음,96.97
1087,조림류,알감자조림,114.74
1088,국류,무콩비지찌개,69.31
1089,튀김류,닭튀김,163.15
1090,밥류,김치볶음밥,366.59
1091,무침류,들기름막국수무침,126.57
1092,튀김류,두부탕수,107.47
1093,무침류,쪽파김무침,187.73
1094,밥류,쭈꾸미볶음덮밥,427.48
1095,무침류,동부묵양념장,93.42
1096,국류,콩나물맑은국,7.74
1097,볶음류,명엽채볶음,95.1
1098,국류,목살고추장찌개,125.36
1099,볶음류,비엔나채소볶음,88.38
1100,국류,닭곰탕/소면,181.8
1101,구이류,조기구이,142.25
1102,볶음류,두부김치,77.92
1103,볶음류,돼지고기앞다리살불고기,160.63
1104,무침류,오징어겨자냉채,86.01
1105,국류,동태알탕,96.84
1106,조림류,돼지고기달걀조림,150.9
1107,밥류,완두콩밥,280.2
1108,부침류,옛날소시지전,163.46
1109,밥류,김치볶음밥_양은도시락,348.71
1110,조림류,콩조림,92.46
1111,구이류,임연수살오븐구이,182.95
1112,볶음류,스크램블에그,115.39
1113,밥류,유부초밥,238.57
1114,튀김류,채소튀김,135.99
1115,조림류,우엉조림,43.85
1116,죽류,아욱죽,345.86
1117,무침류,오징어젓무침,45.09
1118,볶음류,멸치마늘볶음,37.24
1119,부침류,동태전,181.87
1120,볶음류,멸치볶음,55.52
1121,볶음류,비엔나토마토케첩볶음,149.28
1122,볶음류,고구마순나물볶음,89.15
1123,부침류,메밀김치전,203.91
1124,조림류,오징어무조림,164.77
1125,볶음류,돼지고기버섯불고기,225.06
1126,국류,북어채콩나물국,83.2
1127,볶음류,어묵잡채,145.9
1128,국류,조갯살미역국,29.78
1129,볶음류,베이컨달걀스크램블,164.37
1130,조림류,닭안심감자조림,125.45
1131,국류,들깨버섯탕,93.06
1132,찜류,한방보쌈,186.93
1133,조림류,감자엿장조림,146.6
1134,튀김류,닭다리훈제,96.75
1135,보조식,발효산양유요구르트,39.0
1136,튀김류,수제새우까스,111.02
1137,구이류,훈제오리구이,125.1
1138,조림류,삼치조림,168.84
1139,볶음류,햄감자채볶음,86.37
1140,국류,바지락순두부국,80.34
1141,부침류,동태깻잎전,98.54
1142,볶음류,닭볶음탕,214.84
1143,볶음류,돼지고기고추장불고기,232.87
1144,찜류,달걀채소찜,69.42
1145,조림류,꽈리고추두부조림,56.79
1146,구이류,참가자미구이,109.93
1147,밥류,감자콩밥,281.8
1148,조림류,동태조림,116.33
1149,찜류,순살안동찜닭,193.82
1150,조림류,감자양파조림,153.9
1151,구이류,임연수양념구이,119.8
1152,찜류,단호박고구마범벅찜,109.81
1153,조림류,달걀꽈리장조림,122.34
1154,구이류,갈치살구이,157.72
1155,볶음류,돈육버섯불고기,153.0
1156,무침류,꼬막무침,161.53
1157,구이류,삼치구이/와사비장,148.3
1158,무침류,도토리묵김치무침,69.22
1159,볶음류,미역줄기볶음,20.41
1160,볶음류,감자채피망볶음,84.19
1161,볶음류,베이컨숙주볶음,112.79
1162,국류,대구지리,66.25
1163,찜류,해물콩나물찜,159.51
1164,볶음류,팽이버섯양파볶음,85.63
1165,국류,수삼닭백숙,127.35
1166,구이류,삼치구이,214.95
1167,볶음류,김치돼지고기볶음,191.86
1168,국류,소고기감자국,173.39
1169,조림류,목살스테이크조림,171.39
1170,찜류,손두부찜/양념장,114.12
1171,밥류,새우살볶음밥,354.26
1172,찜류,묵은지닭찜,138.0
1173,밥류,잡곡밥,272.8
1174,밥류,곤드레무밥/양념장,289.1
1175,국류,맑은순두부탕,74.02
1176,무침류,냉이나물,39.18
1177,튀김류,가자미튀김,178.68
1178,부침류,해물동그랑땡구이,123.26
1179,구이류,된장돼지불고기,230.4
1180,구이류,삼치유자청구이,285.57
1181,조림류,자반고등어조림,238.24
1182,구이류,뱅어포구이,101.93
1183,죽류,전복닭장각백숙,375.45
1184,보조식,콩연두부&amp;흑임자드레싱,254.2
1185,볶음류,김자반,35.0
1186,보조식,백우유,130.0
1187,보조식,딸기우유,136.0
1188,볶음류,돼지고기채부추볶음,111.78
1189,밥류,보리밥1,254.2
1190,볶음류,춘천닭갈비,174.22
1191,구이류,단호박달걀치즈오븐구이,39.37
1192,국류,맑은오징어국,24.49
1193,국류,오징어뭇국,53.89
1194,보조식,어린이요구르트,45.5
1195,보조식,포도주스(완),72.0
1196,보조식,포도주스,72.0
1197,밥류,콩고기채소볶음밥,151.18
1198,튀김류,새우튀김,83.37
1199,튀김류,코다리견과류강정,75.01
1200,국류,북어달걀국,49.54
1201,부침류,두부닭가슴살동그랑땡,56.64
1202,무침류,연근흑임자샐러드,57.31
1203,밥류,누룽지탕(소),19.65
1204,보조식,요거트,57.85
1205,조림류,실곤약우엉조림,32.59
1206,조림류,곤약우엉조림,29.27
1207,무침류,어린이영양부추무침,12.17
1208,국류,버섯달걀국,38.72
1209,무침류,오징어젓갈,48.99
1210,보조식,요구르트(한국야쿠르트),42.25
1211,조림류,새송이연근조림,31.84
1212,국류,날콩가루배추된장국,42.37
1213,밥류,해물굴소스볶음밥,326.05
1214,조림류,알감자간장조림,73.12
1215,볶음류,어린이부들어묵볶음,154.66
1216,튀김류,춘권튀김,126.5
1217,면류,한우쌀국수,54.35
1218,무침류,양배추된장나물,27.96
1219,조림류,닭살데리야끼조림,87.7
1220,국류,쇠고기뭇국,64.63
1221,무침류,닭가슴살폭찹,115.15
1222,구이류,삼치카레구이,88.73
1223,밥류,돼지고기채소볶음밥,271.63
1224,볶음류,어린이감자채볶음,33.93
1225,볶음류,대구살케첩볶음,106.39
1226,밥류,참치채소볶음밥,326.71
1227,조림류,어린이연근조림,136.14
1228,국류,어린이만둣국,57.36
1229,부침류,어린이해물완자전,102.14
1230,조림류,메추리알버섯조림,83.29
1231,볶음류,호두멸치볶음,11.88
1232,밥류,해물볶음밥,239.29
1233,튀김류,두부커틀릿/소스,147.02
1234,볶음류,소세지떡볶음,84.2
1235,무침류,고구마범벅,49.11
1236,부침류,소고기육전,89.89
1237,볶음류,순살치즈닭갈비,146.27
1238,국류,한우사골만두국,80.35
1239,국류,순대국,39.71
1240,국류,사누끼우동국,88.8
1241,밥류,소고기채소볶음밥,186.53
1242,튀김류,수제채소튀김,103.93
1243,무침류,세발나물무침,15.18
1244,볶음류,국물떡볶음,99.14
1245,튀김류,김말이,79.88
1246,국류,근대국,19.66
1247,볶음류,고구마순볶음,25.5
1248,무침류,더덕사과무침,36.84
1249,찜류,돼지갈비떡찜,137.35
1250,튀김류,스코치에그,135.15
1251,구이류,군만두,126.1
1252,구이류,순살고등어자반구이,112.61
1253,국류,모시조개맑은탕,22.48
1254,밥류,보리밥(중),400.1
1255,밥류,녹두밥,419.5
1256,밥류,옥수수차조밥,352.3
1257,밥류,늘보리밥,400.6
1258,밥류,귀리현미밥,322.06
1259,밥류,동부콩밥,400.75
1260,밥류,흑미차조밥,387.81
1261,밥류,차조밥(소),249.0
1262,밥류,옥수수기장밥,388.6
1263,밥류,발아흑미찰밥,291.8
1264,국류,단호박크림스프,107.81
1265,밥류,현미수수밥,365.9
1266,밥류,찰현미밥,365.0
1267,밥류,찹쌀현미밥,395.28
1268,밥류,백미쌀밥,256.2
1269,밥류,찹쌀서리태밥,414.69
1270,밥류,발아현미쌀밥,293.8
1271,밥류,찰옥수수밥,437.4
1272,밥류,흑미찰밥,382.85
1273,밥류,귀리밥(소),331.0
1274,밥류,강황찹쌀밥,366.74
1275,보조식,꿀떡(소),63.0
1276,볶음류,미나리돼지고기볶음,209.68
1277,밥류,렌틸콩밥(소),274.15
1278,밥류,수수현미밥,395.02
1279,밥류,흑미찹쌀밥,391.29
1280,밥류,보리밥(소),290.8
1281,무침류,양념생깻잎지,30.21
1282,밥류,흑미현미밥,384.27
1283,국류,토마토채소스프,55.35
1284,밥류,보리밥(멥쌀70g/보리10g)),290.8
1285,밥류,늘보리밥(멥쌀90/늘보리10g),364.0
1286,밥류,늘보리밥(멥쌀80g/늘보리10g),327.4
1287,면류,사누끼우동(소),119.23
1288,국류,아욱양파된장국,41.46
1289,국류,콩나물김치국,23.26
1290,보조식,메론,40.0
1291,국류,팽이버섯시금치된장국,38.2
1292,보조식,배주스,63.0
1293,국류,새알심들깨미역국,67.5
1294,국류,꽃게어묵국,76.86
1295,무침류,명이나물장아찌,16.5
1296,볶음류,돈육숯불불고기,199.65
1297,조림류,콩자반,81.3
1298,구이류,단호박구이,43.06
1299,국류,팽이버섯미소된장국,31.11
1300,국류,해물토마토스튜,131.97
1301,면류,쑥갓우동,352.26
1302,국류,열무바지락된장국,37.72
1303,볶음류,야채잡채,118.45
1304,보조식,땡모반(수박주스),85.85
1305,보조식,시루떡,108.6
1306,구이류,떡꼬치,191.85
1307,보조식,절편버터구이,256.75
1308,찜류,옥수수찜,156.7
1309,밥류,누룽지튀김(중),409.6
1310,밥류,누룽지튀김(소),213.1
1311,국류,두부달걀찜,70.02
1312,밥류,새우살마파두부덮밥,374.68
1313,면류,칡냉면(물),507.75
1314,무침류,해초무우초무침,17.18
1315,볶음류,마늘종볶음,47.22
1316,무침류,마늘종지무침(완),25.51
1317,무침류,마늘종무침,45.14
1318,튀김류,미니후렌치후라이&amp;케찹,112.95
1319,밥류,수수현미밥(멥쌀100g),395.02
1320,밥류,현미찹쌀밥(멥쌀100g),401.95
1321,밥류,기장보리밥(멥쌀100g),393.85
1322,밥류,강황밥(멥쌀110g),438.91
1323,밥류,서리태밥(멥쌀100g),414.69
1324,밥류,보리밥(멥쌀100g),400.1
1325,밥류,옥수수밥(멥쌀100g),389.6
1326,밥류,녹두밥(멥쌀90g),364.6
1327,밥류,녹두밥(멥쌀80g찹쌀10g),364.3
1328,구이류,닭꼬치,207.45
1329,보조식,자두,13.0
1330,밥류,동부콩밥(멥쌀100g),400.75
1331,밥류,흑미현미밥(100g),384.27
1332,밥류,옥수수기장밥(멥쌀100g),388.6
1333,밥류,기장밥(멥쌀70g),267.0
1334,밥류,기장밥(멥쌀65g),248.7
1335,밥류,차조밥(멥쌀65g),249.0
1336,무침류,곤약채오이샐러드,90.44
1337,밥류,귀리현미밥(멥쌀85g),340.36
1338,밥류,귀리현미밥(멥쌀80g),322.06
1339,밥류,늘보리밥(멥쌀100g),400.6
1340,밥류,옥수수차조밥(멥쌀90g),352.3
1341,무침류,시금치두부들깨가루무침,63.18
1342,밥류,귀리차조밥(멥쌀100g),388.56
1343,면류,초계국수,293.18
1344,밥류,차조기장밥(멥쌀100g),387.9
1345,밥류,녹두밥(백미110g),437.8
1346,밥류,녹두밥(백미100g),401.2
1347,밥류,녹두밥(백미105g),419.5
1348,밥류,보리밥(멥쌀60g),254.2
1349,찜류,오징어군만두,197.32
1350,조림류,미트볼떡조림,201.51
1351,찜류,옥수수(찜),70.5
1352,밥류,밤밥,324.85
1353,볶음류,소고기야채떡볶음,457.8
1354,밥류,옥수수밥(소),200.7
1355,튀김류,치즈등심돈까스,404.02
1356,조림류,꽃도리탕(꽃게닭도리탕),206.61
1357,국류,감자된장찌개,33.57
1358,조림류,햄데리야끼조림,148.16
1359,구이류,옥수수치즈구이,99.3
1360,구이류,옥수수구이,99.3
1361,무침류,매콤도라지무침,42.11
1362,튀김류,불고기치즈버거,547.04
1363,밥류,강황밥(멥쌀100g),402.31
1364,국류,브로콜리양파스프,140.69
1365,국류,단호박스프,72.05
1366,찜류,아귀콩나물찜,108.47
1367,국류,두부김치찌개,71.1
1368,밥류,베이컨로제리조또(소),337.66
1369,조림류,건문어고추장조림,99.05
1370,밥류,제주고구마밥(향토-제주도),366.3
1371,볶음류,제주흑돼지불고기(향토-제주도),370.54
1372,부침류,제주고사리해물전(향토-제주도),115.41
1373,무침류,유채겉절이,26.55
1374,구이류,훈제삼겹살구이,328.09
1375,볶음류,중화풍가지볶음,64.1
1376,무침류,모듬쌈,21.25
1377,볶음류,닭순살고추장볶음,278.9
1378,조림류,미니새송이버섯장조림,51.72
1379,구이류,꽁치구이&amp;와사비장,169.1
1380,구이류,삼치구이&amp;와사비장,139.1
1381,국류,조랭이떡만두국,254.62
1382,면류,장칼국수,307.0
1383,튀김류,파닭,254.24
1384,무침류,양념고추지무침,45.36
1385,밥류,잔멸치김가루주먹밥(소),247.65
1386,국류,사골감자국,120.1
1387,무침류,포항초무침,22.02
1388,볶음류,주꾸미삼겹살볶음,319.97
1389,튀김류,방어순살강정,169.63
1390,볶음류,고구마닭볶음,432.48
1391,볶음류,명엽채땅콩볶음,163.96
1392,무침류,유채유자청겉절이(향토-제주도),26.61
1393,죽류,불낙죽,432.1
1394,조림류,돈사태단호박조림,147.68
1395,국류,연두부달걀국,70.02
1396,국류,부추제첩국,51.48
1397,국류,부추재첩국,51.48
1398,무침류,훈제연어샐러드,49.9
1399,면류,호박칼국수,270.31
1400,튀김류,콩고기강정,297.29
1401,볶음류,돈가지볶음,79.08
1402,면류,칡냉면,507.75
1403,국류,팽이미역국,23.15
1404,무침류,생크림고구마무스,138.69
1405,보조식,과일우유화채,95.3
1406,볶음류,포두부굴소스볶음,182.98
1407,튀김류,순대떡강정,251.32
1408,무침류,와사비무생채,18.43
1409,면류,우무묵콩국수,538.17
1410,튀김류,순살양념치킨,221.53
1411,무침류,양파고추장아찌,45.65
1412,보조식,채소스틱&amp;쌈장,10.77
1413,볶음류,콩나물돼지불고기,203.13
1414,조림류,연근무화과조림,63.2
1415,밥류,소고기규동,585.86
1416,튀김류,벌집감자튀김&amp;케찹,236.9
1417,튀김류,고구마크로켓&amp;케첩,100.95
1418,찜류,묵은지찜닭,149.37
1419,무침류,참치피클채소범벅,117.56
1420,국류,괴산올갱이국(향토-충청도),42.78
1421,볶음류,천안주꾸미볶음(향토-충청도),167.48
1422,튀김류,금산인삼야채튀김(향토-충청도),263.7
1423,조림류,천안호두조림(향토-충청도),215.49
1424,밥류,공주밤밥(향토-충청도),322.7
1425,국류,사골배추국,36.6
1426,국류,새우살달걀국,86.09
1427,볶음류,오리김치불고기,250.53
1428,무침류,건호박들기름무침,34.1
1429,볶음류,돌자반,175.0
1430,국류,팽이된장국,16.18
1431,죽류,소고기검은깨죽,490.26
1432,볶음류,마늘종건새우볶음,30.69
1433,볶음류,중멸치고추장볶음,55.57
1434,국류,바지락조개탕,71.46
1435,부침류,갈비완자전,194.35
