나이,성별,신장,체중,활동량계수,BMR,에너지 섭취량(Kcal),일일 칼로리 잉여/적자
80.0,1.0,172.8,65.0,1.0,1866.1788000000001,1251.659169374751,-614.5196306252492
54.0,1.0,176.6,87.1,1.0,2486.0746,2438.9501871326456,-47.124412867354295
46.0,2.0,160.4,62.6,1.0,1786.58,1325.9163636098692,-460.6636363901307
74.0,2.0,151.2,58.6,1.0,1488.868,1572.5904042095688,83.72240420956882
58.0,2.0,159.5,66.0,1.0,1728.95,1019.1723761177,-709.7776238823001
54.0,1.0,168.5,67.8,1.0,2135.304,1607.3051512505083,-527.9988487494918
75.0,1.0,162.7,63.1,1.0,1829.1001999999999,1764.2123014067572,-64.88789859324265
74.0,2.0,157.3,61.9,1.0,1564.042,1318.9916332268876,-245.05036677311227
80.0,1.0,168.5,66.4,1.15,2160.0975,1588.1133554086434,-571.9841445913564
79.0,2.0,147.7,56.6,1.0,1410.188,937.1594324920673,-473.02856750793285
73.0,1.0,169.1,62.6,1.0,1874.7395999999999,1930.441463573949,55.70186357394914
66.0,1.0,183.4,101.8,1.0,2642.2844,2225.210623260556,-417.07377673944393
61.0,2.0,158.0,67.3,1.0,1709.4979999999998,1709.300822066286,-0.19717793371387415
71.0,2.0,158.8,47.9,1.0,1464.6219999999998,1310.9156867942736,-153.70631320572625
76.0,1.0,166.4,63.8,1.0,1850.6724000000002,1919.4048738276103,68.73247382761019
51.0,1.0,170.5,65.0,1.0,2130.138,1418.281905162552,-711.8560948374479
28.0,2.0,167.8,55.1,1.15,2154.5786,1697.4962605463195,-457.08233945368033
68.0,2.0,159.2,58.1,1.0,1583.728,1065.6932407569032,-518.0347592430969
43.0,2.0,161.2,62.0,1.15,2070.0968,1865.2440582043369,-204.85274179566295
60.0,2.0,155.3,49.9,1.0,1533.942,959.7997118314242,-574.1422881685758
44.0,2.0,159.0,57.1,1.15,1992.0753999999997,1473.0027930501294,-519.0726069498703
54.0,2.0,154.0,50.0,1.0,1566.9,1288.37772303234,-278.52227696766
35.0,1.0,180.5,72.0,1.0,2447.9480000000003,1847.9199964526424,-600.0280035473579
64.0,1.0,168.8,74.2,1.0,2143.4468,2162.07050953462,18.623709534620048
75.0,1.0,173.1,76.8,1.15,2426.5759399999997,2103.943925956803,-322.6320140431967
28.0,2.0,163.6,53.8,1.15,2105.5195999999996,1923.1584337000347,-182.3611662999649
37.0,2.0,173.0,59.5,1.0,1911.23,1932.2734582798005,21.04345827980046
42.0,1.0,176.7,68.1,1.46,3235.678532,3093.255111506907,-142.4234204930931
60.0,2.0,161.2,50.8,1.0,1585.1999999999998,1214.3840347773184,-370.81596522268137
35.0,2.0,155.0,45.4,1.0,1662.394,1253.0679974782693,-409.32600252173074
67.0,1.0,172.1,65.4,1.0,1992.6556,1594.17479721528,-398.48080278472
67.0,2.0,137.9,62.4,1.0,1476.2479999999998,1065.4201772555996,-410.82782274440024
56.0,2.0,152.6,50.0,1.15,1779.2973999999997,1315.0131029445024,-464.2842970554973
51.0,2.0,157.6,69.1,1.15,2061.1847999999995,1377.791936075074,-683.3928639249255
52.0,2.0,151.8,46.3,1.0,1530.116,1266.906075559435,-263.2099244405649
76.0,2.0,150.0,51.3,1.0,1398.0079999999998,1248.309923356304,-149.6980766436959
48.0,2.0,158.5,58.7,1.15,1977.4832999999999,1333.3209408378605,-644.1623591621394
